Categoria: Todas as categorias

Semana,sintomas dengue: (Goiás),dengue: (Goiás),tratamento dengue: (Goiás)
2023-12-03,3,10,0
2023-12-10,3,11,0
2023-12-17,3,13,0
2023-12-24,3,16,0
2023-12-31,4,20,0
2024-01-07,5,25,0
2024-01-14,6,28,0
2024-01-21,8,40,0
2024-01-28,10,54,0
2024-02-04,15,88,0
2024-02-11,19,90,1
2024-02-18,17,100,1
2024-02-25,16,95,1
2024-03-03,13,78,0
2024-03-10,12,76,0
2024-03-17,12,77,0
2024-03-24,11,61,0
2024-03-31,11,64,0
2024-04-07,12,70,1
2024-04-14,11,77,1
2024-04-21,10,54,1
