Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul)
2020-04-12,63,12
2020-04-19,52,11
2020-04-26,54,12
2020-05-03,37,7
2020-05-10,27,5
2020-05-17,33,9
2020-05-24,23,6
2020-05-31,22,4
2020-06-07,22,6
2020-06-14,25,6
2020-06-21,23,6
2020-06-28,17,5
2020-07-05,20,5
2020-07-12,21,6
2020-07-19,18,6
2020-07-26,20,6
2020-08-02,13,4
2020-08-09,13,5
2020-08-16,11,3
2020-08-23,9,0
2020-08-30,12,3
2020-09-06,12,0
2020-09-13,10,0
2020-09-20,12,3
2020-09-27,6,0
2020-10-04,9,0
2020-10-11,6,0
2020-10-18,8,0
2020-10-25,10,3
2020-11-01,10,4
2020-11-08,12,3
2020-11-15,14,4
2020-11-22,13,5
2020-11-29,12,6
2020-12-06,16,6
2020-12-13,14,7
2020-12-20,15,7
2020-12-27,15,5
2021-01-03,14,6
2021-01-10,17,6
2021-01-17,17,5
2021-01-24,20,8
2021-01-31,28,8
2021-02-07,31,12
2021-02-14,30,9
2021-02-21,27,8
2021-02-28,33,13
2021-03-07,35,13
2021-03-14,35,9
2021-03-21,36,14
2021-03-28,34,13
2021-04-04,30,8
2021-04-11,26,8
2021-04-18,30,7
2021-04-25,30,6
2021-05-02,21,4
2021-05-09,23,7
2021-05-16,26,8
2021-05-23,19,9
2021-05-30,23,7
2021-06-06,13,4
2021-06-13,16,7
2021-06-20,13,0
2021-06-27,7,0
2021-07-04,6,0
2021-07-11,8,3
2021-07-18,7,0
2021-07-25,4,0
2021-08-01,6,3
2021-08-08,5,0
2021-08-15,5,0
2021-08-22,8,3
2021-08-29,8,0
2021-09-05,0,0
2021-09-12,6,0
2021-09-19,7,0
2021-09-26,8,3
2021-10-03,6,0
2021-10-10,5,0
2021-10-17,5,0
2021-10-24,7,0
2021-10-31,8,0
2021-11-07,8,0
2021-11-14,8,0
2021-11-21,9,0
2021-11-28,9,0
2021-12-05,7,4
2021-12-12,13,3
2021-12-19,9,0
2021-12-26,10,0
2022-01-02,11,4
2022-01-09,18,7
2022-01-16,22,10
2022-01-23,17,7
2022-01-30,11,5
2022-02-06,18,8
2022-02-13,13,4
2022-02-20,13,3
2022-02-27,16,5
2022-03-06,14,3
2022-03-13,24,6
2022-03-20,22,5
2022-03-27,26,7
2022-04-03,34,7
2022-04-10,37,9
2022-04-17,50,13
2022-04-24,63,15
2022-05-01,59,17
2022-05-08,69,17
2022-05-15,41,10
2022-05-22,54,15
2022-05-29,39,13
2022-06-05,40,13
2022-06-12,34,11
2022-06-19,28,8
2022-06-26,31,11
2022-07-03,26,10
2022-07-10,25,8
2022-07-17,20,8
2022-07-24,16,4
2022-07-31,17,6
2022-08-07,15,4
2022-08-14,15,5
2022-08-21,15,5
2022-08-28,14,3
2022-09-04,13,4
2022-09-11,12,3
2022-09-18,11,3
2022-09-25,9,3
2022-10-02,11,3
2022-10-09,13,5
2022-10-16,16,5
2022-10-23,18,7
2022-10-30,12,5
2022-11-06,21,7
2022-11-13,18,5
2022-11-20,25,9
2022-11-27,25,6
2022-12-04,23,8
2022-12-11,25,7
2022-12-18,28,10
2022-12-25,23,8
2023-01-01,24,6
2023-01-08,31,10
2023-01-15,27,7
2023-01-22,30,7
2023-01-29,33,9
2023-02-05,38,11
2023-02-12,54,18
2023-02-19,52,15
2023-02-26,59,16
2023-03-05,71,20
2023-03-12,69,18
2023-03-19,89,23
2023-03-26,100,29
2023-04-02,90,25
2023-04-09,98,28
2023-04-16,98,26
2023-04-23,98,22
2023-04-30,82,20
2023-05-07,80,21
2023-05-14,63,15
2023-05-21,59,17
2023-05-28,42,12
2023-06-04,28,8
2023-06-11,23,7
2023-06-18,25,4
2023-06-25,21,5
2023-07-02,24,4
2023-07-09,15,4
2023-07-16,12,5
2023-07-23,12,3
2023-07-30,12,3
2023-08-06,9,3
2023-08-13,10,3
2023-08-20,8,0
2023-08-27,13,4
2023-09-03,7,0
2023-09-10,12,3
2023-09-17,11,0
2023-09-24,10,4
2023-10-01,13,4
2023-10-08,10,4
2023-10-15,19,5
2023-10-22,14,3
2023-10-29,12,3
2023-11-05,14,5
2023-11-12,14,5
2023-11-19,15,0
2023-11-26,12,4
2023-12-03,13,3
2023-12-10,13,5
2023-12-17,15,3
2023-12-24,16,6
2023-12-31,20,4
2024-01-07,24,6
2024-01-14,24,6
2024-01-21,33,8
2024-01-28,41,8
2024-02-04,56,10
2024-02-11,80,14
2024-02-18,89,15
2024-02-25,90,17
2024-03-03,88,17
2024-03-10,84,17
2024-03-17,76,15
2024-03-24,67,12
2024-03-31,81,16
2024-04-07,93,13
2024-04-14,75,15
2024-04-21,85,16
2024-04-28,81,17
2024-05-05,59,10
2024-05-12,53,11
2024-05-19,46,8
2024-05-26,30,0
2024-06-02,26,7
2024-06-09,24,5
2024-06-16,22,6
2024-06-23,19,3
2024-06-30,13,4
2024-07-07,11,0
2024-07-14,13,0
2024-07-21,11,0
2024-07-28,9,3
2024-08-04,10,0
2024-08-11,11,0
2024-08-18,16,3
2024-08-25,14,3
2024-09-01,15,0
2024-09-08,11,0
2024-09-15,12,0
