Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso)
2019-06-30,13,0
2019-07-07,11,0
2019-07-14,8,0
2019-07-21,0,0
2019-07-28,8,0
2019-08-04,5,0
2019-08-11,8,0
2019-08-18,9,0
2019-08-25,10,0
2019-09-01,8,0
2019-09-08,6,0
2019-09-15,6,0
2019-09-22,5,0
2019-09-29,9,0
2019-10-06,9,0
2019-10-13,10,0
2019-10-20,10,0
2019-10-27,10,0
2019-11-03,14,0
2019-11-10,13,0
2019-11-17,11,0
2019-11-24,13,0
2019-12-01,12,0
2019-12-08,18,4
2019-12-15,18,5
2019-12-22,15,0
2019-12-29,21,6
2020-01-05,28,9
2020-01-12,41,12
2020-01-19,44,9
2020-01-26,35,10
2020-02-02,42,9
2020-02-09,43,12
2020-02-16,44,9
2020-02-23,39,10
2020-03-01,45,11
2020-03-08,64,17
2020-03-15,80,21
2020-03-22,61,16
2020-03-29,44,11
2020-04-05,39,10
2020-04-12,37,9
2020-04-19,35,6
2020-04-26,33,7
2020-05-03,32,7
2020-05-10,31,8
2020-05-17,25,6
2020-05-24,30,8
2020-05-31,28,8
2020-06-07,30,11
2020-06-14,31,10
2020-06-21,29,11
2020-06-28,25,9
2020-07-05,22,9
2020-07-12,20,4
2020-07-19,19,7
2020-07-26,16,7
2020-08-02,14,5
2020-08-09,14,4
2020-08-16,12,3
2020-08-23,10,5
2020-08-30,8,0
2020-09-06,4,0
2020-09-13,7,0
2020-09-20,11,0
2020-09-27,9,0
2020-10-04,4,0
2020-10-11,6,0
2020-10-18,7,3
2020-10-25,8,0
2020-11-01,8,0
2020-11-08,8,0
2020-11-15,6,0
2020-11-22,10,0
2020-11-29,12,0
2020-12-06,10,0
2020-12-13,12,4
2020-12-20,11,8
2020-12-27,16,8
2021-01-03,16,6
2021-01-10,18,6
2021-01-17,21,5
2021-01-24,16,6
2021-01-31,20,4
2021-02-07,22,7
2021-02-14,18,8
2021-02-21,23,9
2021-02-28,24,9
2021-03-07,28,10
2021-03-14,28,8
2021-03-21,31,11
2021-03-28,27,8
2021-04-04,27,8
2021-04-11,29,10
2021-04-18,24,7
2021-04-25,21,5
2021-05-02,20,5
2021-05-09,22,4
2021-05-16,24,4
2021-05-23,21,6
2021-05-30,23,5
2021-06-06,18,3
2021-06-13,19,5
2021-06-20,16,3
2021-06-27,8,0
2021-07-04,11,3
2021-07-11,13,0
2021-07-18,7,0
2021-07-25,7,0
2021-08-01,8,0
2021-08-08,10,0
2021-08-15,7,0
2021-08-22,10,0
2021-08-29,11,0
2021-09-05,7,0
2021-09-12,5,0
2021-09-19,8,0
2021-09-26,6,0
2021-10-03,7,0
2021-10-10,7,0
2021-10-17,9,0
2021-10-24,7,0
2021-10-31,8,0
2021-11-07,8,0
2021-11-14,10,0
2021-11-21,17,0
2021-11-28,19,5
2021-12-05,23,6
2021-12-12,29,10
2021-12-19,37,10
2021-12-26,41,14
2022-01-02,48,15
2022-01-09,39,11
2022-01-16,49,17
2022-01-23,52,15
2022-01-30,36,8
2022-02-06,32,10
2022-02-13,32,7
2022-02-20,35,8
2022-02-27,32,7
2022-03-06,30,7
2022-03-13,34,8
2022-03-20,37,9
2022-03-27,38,8
2022-04-03,44,10
2022-04-10,39,9
2022-04-17,45,10
2022-04-24,44,10
2022-05-01,39,11
2022-05-08,37,11
2022-05-15,33,8
2022-05-22,30,8
2022-05-29,25,7
2022-06-05,26,8
2022-06-12,22,7
2022-06-19,27,9
2022-06-26,26,8
2022-07-03,18,8
2022-07-10,19,6
2022-07-17,16,5
2022-07-24,14,5
2022-07-31,12,3
2022-08-07,7,4
2022-08-14,8,0
2022-08-21,12,4
2022-08-28,10,3
