Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul)
2020-05-17,32,8
2020-05-24,23,5
2020-05-31,21,4
2020-06-07,22,5
2020-06-14,25,5
2020-06-21,22,6
2020-06-28,17,6
2020-07-05,20,4
2020-07-12,20,6
2020-07-19,18,5
2020-07-26,21,6
2020-08-02,12,3
2020-08-09,14,5
2020-08-16,10,3
2020-08-23,9,0
2020-08-30,11,3
2020-09-06,13,4
2020-09-13,10,3
2020-09-20,13,3
2020-09-27,7,0
2020-10-04,8,0
2020-10-11,6,0
2020-10-18,9,0
2020-10-25,10,0
2020-11-01,10,3
2020-11-08,11,0
2020-11-15,15,5
2020-11-22,15,5
2020-11-29,13,5
2020-12-06,14,5
2020-12-13,14,5
2020-12-20,16,7
2020-12-27,15,5
2021-01-03,15,6
2021-01-10,18,8
2021-01-17,17,6
2021-01-24,21,7
2021-01-31,30,8
2021-02-07,29,12
2021-02-14,31,8
2021-02-21,27,8
2021-02-28,33,12
2021-03-07,35,14
2021-03-14,33,8
2021-03-21,35,13
2021-03-28,33,12
2021-04-04,30,8
2021-04-11,26,8
2021-04-18,30,7
2021-04-25,30,6
2021-05-02,20,6
2021-05-09,22,7
2021-05-16,25,8
2021-05-23,19,6
2021-05-30,23,7
2021-06-06,15,4
2021-06-13,17,5
2021-06-20,14,0
2021-06-27,4,0
2021-07-04,6,0
2021-07-11,7,3
2021-07-18,6,4
2021-07-25,7,0
2021-08-01,8,0
2021-08-08,7,0
2021-08-15,7,0
2021-08-22,7,0
2021-08-29,7,0
2021-09-05,5,0
2021-09-12,5,0
2021-09-19,7,0
2021-09-26,8,0
2021-10-03,5,0
2021-10-10,5,0
2021-10-17,7,0
2021-10-24,7,0
2021-10-31,7,0
2021-11-07,9,0
2021-11-14,9,0
2021-11-21,8,0
2021-11-28,10,0
2021-12-05,7,3
2021-12-12,12,0
2021-12-19,7,0
2021-12-26,9,0
2022-01-02,12,4
2022-01-09,19,8
2022-01-16,21,9
2022-01-23,16,8
2022-01-30,9,4
2022-02-06,18,8
2022-02-13,13,2
2022-02-20,13,3
2022-02-27,15,5
2022-03-06,13,3
2022-03-13,24,6
2022-03-20,23,5
2022-03-27,26,7
2022-04-03,33,8
2022-04-10,35,9
2022-04-17,49,13
2022-04-24,61,16
2022-05-01,59,15
2022-05-08,68,15
2022-05-15,39,10
2022-05-22,52,14
2022-05-29,38,13
2022-06-05,38,12
2022-06-12,32,9
2022-06-19,29,8
2022-06-26,31,11
2022-07-03,26,7
2022-07-10,24,8
2022-07-17,20,8
2022-07-24,17,4
2022-07-31,16,6
2022-08-07,15,4
2022-08-14,15,5
2022-08-21,15,5
2022-08-28,14,3
2022-09-04,13,3
2022-09-11,13,0
2022-09-18,10,3
2022-09-25,9,2
