Categoria: Todas as categorias

Semana,dengue: (Sergipe),sintomas dengue: (Sergipe),tratamento dengue: (Sergipe)
2023-11-12,8,0,0
2023-11-19,9,0,0
2023-11-26,14,0,0
2023-12-03,6,0,0
2023-12-10,10,0,0
2023-12-17,14,0,0
2023-12-24,7,0,0
2023-12-31,11,0,0
2024-01-07,9,0,0
2024-01-14,14,0,0
2024-01-21,14,0,0
2024-01-28,18,0,0
2024-02-04,35,0,0
2024-02-11,51,10,0
2024-02-18,84,16,0
2024-02-25,95,28,0
2024-03-03,100,29,0
2024-03-10,87,23,0
2024-03-17,72,19,1
2024-03-24,53,13,1
2024-03-31,49,13,0
