Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba),tratamento dengue: (Paraíba)
2019-03-31,14,3,0
2019-04-07,19,4,0
2019-04-14,16,5,0
2019-04-21,18,6,0
2019-04-28,24,9,0
2019-05-05,18,6,0
2019-05-12,27,8,0
2019-05-19,28,7,8
2019-05-26,23,3,0
2019-06-02,23,8,0
2019-06-09,20,4,0
2019-06-16,17,5,0
2019-06-23,19,5,0
2019-06-30,20,6,0
2019-07-07,13,0,0
2019-07-14,17,4,0
2019-07-21,17,4,0
2019-07-28,18,5,0
2019-08-04,17,0,0
2019-08-11,13,0,0
2019-08-18,13,0,0
2019-08-25,12,0,0
2019-09-01,8,4,0
2019-09-08,12,4,3
2019-09-15,9,3,0
2019-09-22,10,0,0
2019-09-29,11,4,0
2019-10-06,4,0,0
2019-10-13,4,0,0
2019-10-20,9,0,0
2019-10-27,4,0,0
2019-11-03,8,4,0
2019-11-10,7,0,0
2019-11-17,6,0,0
2019-11-24,5,0,0
2019-12-01,6,3,0
2019-12-08,4,0,0
2019-12-15,5,0,0
2019-12-22,10,0,0
2019-12-29,3,0,0
2020-01-05,3,0,0
2020-01-12,6,3,0
2020-01-19,6,0,0
2020-01-26,0,0,0
2020-02-02,10,0,0
2020-02-09,9,0,0
2020-02-16,8,3,0
2020-02-23,12,0,0
2020-03-01,14,3,0
2020-03-08,14,3,3
2020-03-15,24,4,0
2020-03-22,18,2,0
2020-03-29,13,3,0
2020-04-05,12,4,0
2020-04-12,12,3,0
2020-04-19,15,3,0
2020-04-26,15,4,0
2020-05-03,16,0,0
2020-05-10,21,7,0
2020-05-17,23,7,0
2020-05-24,25,8,0
2020-05-31,22,7,0
2020-06-07,25,7,0
2020-06-14,20,7,0
2020-06-21,22,6,0
2020-06-28,26,9,0
2020-07-05,24,4,0
2020-07-12,23,7,0
2020-07-19,22,7,0
2020-07-26,16,5,0
2020-08-02,14,3,0
2020-08-09,9,0,0
2020-08-16,16,5,0
2020-08-23,11,3,0
2020-08-30,5,0,0
2020-09-06,8,0,0
2020-09-13,6,0,0
2020-09-20,5,0,0
2020-09-27,12,2,0
2020-10-04,5,3,0
2020-10-11,7,0,0
2020-10-18,9,3,0
2020-10-25,9,4,0
2020-11-01,4,0,0
2020-11-08,4,0,0
2020-11-15,6,0,0
2020-11-22,5,0,0
2020-11-29,10,0,0
2020-12-06,6,0,0
2020-12-13,6,0,0
2020-12-20,3,0,0
2020-12-27,3,3,0
2021-01-03,6,0,0
2021-01-10,5,0,0
2021-01-17,4,0,0
2021-01-24,3,0,0
2021-01-31,6,0,0
2021-02-07,6,0,0
2021-02-14,5,0,0
2021-02-21,5,0,0
2021-02-28,6,0,0
2021-03-07,7,3,0
2021-03-14,9,3,0
2021-03-21,9,0,0
2021-03-28,11,0,0
