Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2019-05-19,54,13
2019-05-26,48,9
2019-06-02,44,14
2019-06-09,28,7
2019-06-16,28,10
2019-06-23,39,12
2019-06-30,28,9
2019-07-07,28,7
2019-07-14,37,12
2019-07-21,34,9
2019-07-28,31,0
2019-08-04,27,6
2019-08-11,29,7
2019-08-18,24,5
2019-08-25,24,0
2019-09-01,24,5
2019-09-08,24,10
2019-09-15,17,0
2019-09-22,13,5
2019-09-29,12,0
2019-10-06,10,0
2019-10-13,11,0
2019-10-20,9,0
2019-10-27,9,0
2019-11-03,10,0
2019-11-10,8,0
2019-11-17,8,0
2019-11-24,9,0
2019-12-01,6,5
2019-12-08,8,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,5,0
2020-01-12,7,0
2020-01-19,0,0
2020-01-26,8,0
2020-02-02,8,0
2020-02-09,7,0
2020-02-16,13,0
2020-02-23,9,0
2020-03-01,8,0
2020-03-08,12,0
2020-03-15,18,0
2020-03-22,12,0
2020-03-29,14,0
2020-04-05,16,0
2020-04-12,18,0
2020-04-19,14,0
2020-04-26,24,8
2020-05-03,21,7
2020-05-10,25,10
2020-05-17,24,7
2020-05-24,25,7
2020-05-31,28,7
2020-06-07,20,0
2020-06-14,17,0
2020-06-21,14,0
2020-06-28,10,0
2020-07-05,15,4
2020-07-12,12,0
2020-07-19,12,0
2020-07-26,9,0
2020-08-02,13,0
2020-08-09,8,0
2020-08-16,12,0
2020-08-23,9,0
2020-08-30,8,0
2020-09-06,5,0
2020-09-13,5,0
2020-09-20,6,0
2020-09-27,7,0
2020-10-04,5,0
2020-10-11,10,0
2020-10-18,8,0
2020-10-25,0,0
2020-11-01,7,0
2020-11-08,5,0
2020-11-15,6,0
2020-11-22,7,0
2020-11-29,6,0
2020-12-06,7,0
2020-12-13,5,0
2020-12-20,6,0
2020-12-27,0,0
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,5,0
