Categoria: Todas as categorias

Semana,dengue: (Sergipe),sintomas dengue: (Sergipe)
2019-05-19,40,9
2019-05-26,50,14
2019-06-02,52,20
2019-06-09,34,15
2019-06-16,39,17
2019-06-23,61,16
2019-06-30,54,22
2019-07-07,48,17
2019-07-14,43,17
2019-07-21,69,20
2019-07-28,46,15
2019-08-04,46,16
2019-08-11,37,18
2019-08-18,35,11
2019-08-25,38,10
2019-09-01,33,0
2019-09-08,34,13
2019-09-15,30,0
2019-09-22,25,0
2019-09-29,33,0
2019-10-06,25,0
2019-10-13,15,0
2019-10-20,20,11
2019-10-27,17,0
2019-11-03,21,0
2019-11-10,15,0
2019-11-17,0,0
2019-11-24,10,0
2019-12-01,11,0
2019-12-08,11,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,10,0
2020-01-12,11,0
2020-01-19,9,0
2020-01-26,10,0
2020-02-02,10,0
2020-02-09,16,0
2020-02-16,16,0
2020-02-23,12,0
2020-03-01,19,0
2020-03-08,22,0
2020-03-15,29,0
2020-03-22,15,0
2020-03-29,18,0
2020-04-05,21,0
2020-04-12,20,0
2020-04-19,13,0
2020-04-26,15,0
2020-05-03,10,0
2020-05-10,16,7
2020-05-17,22,9
2020-05-24,24,9
2020-05-31,22,0
2020-06-07,27,13
2020-06-14,36,13
2020-06-21,29,12
2020-06-28,37,14
2020-07-05,34,7
2020-07-12,27,12
2020-07-19,22,12
2020-07-26,25,8
2020-08-02,22,7
2020-08-09,20,0
2020-08-16,10,0
2020-08-23,9,0
2020-08-30,10,0
2020-09-06,9,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,9,0
2020-10-04,11,0
2020-10-11,8,0
2020-10-18,9,0
2020-10-25,10,0
2020-11-01,8,0
2020-11-08,10,0
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,8,0
2020-12-06,8,0
2020-12-13,0,0
2020-12-20,8,0
2020-12-27,10,0
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,7,0
2021-01-24,0,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,0,0
2021-02-21,0,0
2021-02-28,9,0
2021-03-07,0,0
2021-03-14,0,0
2021-03-21,0,0
2021-03-28,12,0
2021-04-04,7,0
2021-04-11,14,0
2021-04-18,15,0
2021-04-25,9,0
2021-05-02,0,0
2021-05-09,15,0
2021-05-16,19,0
2021-05-23,15,0
2021-05-30,12,0
2021-06-06,12,0
2021-06-13,15,0
2021-06-20,14,0
2021-06-27,11,0
2021-07-04,8,12
2021-07-11,0,0
2021-07-18,13,0
2021-07-25,11,0
2021-08-01,0,0
2021-08-08,8,0
2021-08-15,9,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,0,0
2021-09-12,0,0
2021-09-19,0,0
2021-09-26,0,0
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,0,0
2021-10-24,10,0
2021-10-31,0,0
2021-11-07,8,0
2021-11-14,9,0
2021-11-21,9,0
2021-11-28,0,0
2021-12-05,0,0
2021-12-12,0,0
2021-12-19,0,0
2021-12-26,0,0
2022-01-02,0,0
2022-01-09,0,0
2022-01-16,0,0
2022-01-23,0,0
2022-01-30,0,0
2022-02-06,0,0
2022-02-13,7,0
2022-02-20,8,0
2022-02-27,0,0
2022-03-06,7,0
2022-03-13,10,0
2022-03-20,10,0
2022-03-27,12,0
