Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2021-11-07,8,0,0
2021-11-14,8,0,0
2021-11-21,6,0,0
2021-11-28,7,0,0
2021-12-05,10,0,0
2021-12-12,11,0,0
2021-12-19,9,0,0
2021-12-26,6,0,0
2022-01-02,8,0,0
2022-01-09,17,8,0
2022-01-16,20,8,0
2022-01-23,18,6,0
2022-01-30,8,0,0
2022-02-06,17,7,0
2022-02-13,11,0,0
2022-02-20,11,0,0
2022-02-27,16,5,0
2022-03-06,12,0,0
2022-03-13,21,6,0
2022-03-20,20,4,0
2022-03-27,22,7,0
2022-04-03,31,7,0
2022-04-10,31,8,0
2022-04-17,41,12,0
2022-04-24,58,14,0
2022-05-01,51,14,0
2022-05-08,60,15,0
2022-05-15,36,8,0
2022-05-22,45,12,0
2022-05-29,33,7,0
2022-06-05,36,11,0
2022-06-12,30,10,0
2022-06-19,26,7,0
2022-06-26,26,8,0
2022-07-03,24,8,0
2022-07-10,21,8,0
2022-07-17,18,8,0
2022-07-24,14,5,0
2022-07-31,12,5,0
2022-08-07,12,3,0
2022-08-14,12,4,0
2022-08-21,11,4,0
2022-08-28,11,4,0
2022-09-04,10,3,0
2022-09-11,12,3,0
2022-09-18,9,4,0
2022-09-25,9,4,0
2022-10-02,9,0,0
2022-10-09,11,4,0
2022-10-16,13,3,0
2022-10-23,16,7,0
2022-10-30,10,4,0
2022-11-06,17,6,0
2022-11-13,17,6,0
2022-11-20,17,5,0
2022-11-27,21,7,0
2022-12-04,20,6,0
2022-12-11,22,8,0
2022-12-18,23,7,0
2022-12-25,22,6,0
2023-01-01,20,7,0
2023-01-08,27,8,0
2023-01-15,19,6,0
2023-01-22,25,8,0
2023-01-29,30,9,0
2023-02-05,35,8,0
2023-02-12,45,14,0
2023-02-19,47,13,0
2023-02-26,51,12,0
2023-03-05,58,16,0
2023-03-12,62,18,0
2023-03-19,78,19,0
2023-03-26,95,27,0
2023-04-02,88,23,0
2023-04-09,90,25,0
2023-04-16,88,26,0
2023-04-23,91,17,0
2023-04-30,72,18,0
2023-05-07,70,17,0
2023-05-14,53,12,0
2023-05-21,56,15,3
2023-05-28,37,10,0
2023-06-04,25,5,0
2023-06-11,22,7,0
2023-06-18,24,3,0
2023-06-25,15,5,0
2023-07-02,23,3,0
2023-07-09,14,3,0
2023-07-16,11,4,0
2023-07-23,11,0,0
2023-07-30,9,0,0
2023-08-06,8,0,0
2023-08-13,12,0,0
2023-08-20,8,0,0
2023-08-27,10,0,0
2023-09-03,10,0,0
2023-09-10,6,5,0
2023-09-17,12,0,0
2023-09-24,9,0,0
2023-10-01,11,0,0
2023-10-08,7,0,0
2023-10-15,16,3,0
2023-10-22,9,3,0
2023-10-29,12,0,0
2023-11-05,13,0,0
2023-11-12,11,0,0
2023-11-19,12,0,0
2023-11-26,13,0,0
2023-12-03,10,0,0
2023-12-10,10,7,0
2023-12-17,13,0,0
2023-12-24,10,0,0
2023-12-31,22,0,0
2024-01-07,18,0,0
2024-01-14,21,7,0
2024-01-21,30,7,0
2024-01-28,36,6,0
2024-02-04,46,6,0
2024-02-11,67,12,0
2024-02-18,75,15,0
2024-02-25,82,13,0
2024-03-03,72,12,0
2024-03-10,69,17,0
2024-03-17,71,12,0
2024-03-24,57,13,0
2024-03-31,75,12,0
2024-04-07,81,8,0
2024-04-14,69,10,1
2024-04-21,76,15,1
2024-04-28,61,13,0
