Categoria: Todas as categorias

Semana,dengue: (Goiás),sintomas dengue: (Goiás),tratamento dengue: (Goiás)
2023-12-10,11,3,0
2023-12-17,13,3,0
2023-12-24,17,3,0
2023-12-31,20,4,0
2024-01-07,25,5,0
2024-01-14,28,6,0
2024-01-21,40,7,0
2024-01-28,54,10,0
2024-02-04,87,15,1
2024-02-11,91,19,0
2024-02-18,100,17,1
2024-02-25,95,16,1
2024-03-03,77,13,0
2024-03-10,75,11,0
2024-03-17,76,12,0
2024-03-24,61,11,0
2024-03-31,64,10,0
2024-04-07,67,12,0
2024-04-14,78,11,<1
2024-04-21,68,12,1
2024-04-28,55,10,1
