Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul)
2019-06-23,26,7
2019-06-30,18,5
2019-07-07,12,0
2019-07-14,9,0
2019-07-21,13,0
2019-07-28,4,0
2019-08-04,8,0
2019-08-11,9,4
2019-08-18,7,5
2019-08-25,8,0
2019-09-01,6,0
2019-09-08,8,0
2019-09-15,9,5
2019-09-22,13,0
2019-09-29,10,0
2019-10-06,5,0
2019-10-13,10,0
2019-10-20,9,0
2019-10-27,8,0
2019-11-03,8,0
2019-11-10,13,0
2019-11-17,15,0
2019-11-24,10,0
2019-12-01,12,0
2019-12-08,14,0
2019-12-15,16,0
2019-12-22,19,5
2019-12-29,21,6
2020-01-05,32,8
2020-01-12,44,12
2020-01-19,65,12
2020-01-26,63,13
2020-02-02,66,13
2020-02-09,75,17
2020-02-16,79,18
2020-02-23,82,22
2020-03-01,89,21
2020-03-08,100,24
2020-03-15,90,24
2020-03-22,81,19
2020-03-29,67,15
2020-04-05,63,16
2020-04-12,54,10
2020-04-19,47,10
2020-04-26,47,12
2020-05-03,31,6
2020-05-10,22,7
2020-05-17,29,7
2020-05-24,21,5
2020-05-31,15,4
2020-06-07,20,6
2020-06-14,21,5
2020-06-21,21,5
2020-06-28,14,5
2020-07-05,17,5
2020-07-12,16,3
2020-07-19,16,5
2020-07-26,17,4
2020-08-02,11,5
2020-08-09,12,4
2020-08-16,11,3
2020-08-23,8,0
2020-08-30,11,3
2020-09-06,11,3
2020-09-13,7,0
2020-09-20,13,4
2020-09-27,6,0
2020-10-04,7,0
2020-10-11,6,0
2020-10-18,8,0
2020-10-25,8,0
2020-11-01,10,3
2020-11-08,10,0
2020-11-15,13,5
2020-11-22,10,3
2020-11-29,11,5
2020-12-06,13,4
2020-12-13,13,5
2020-12-20,14,5
2020-12-27,12,5
2021-01-03,14,5
2021-01-10,14,4
2021-01-17,15,5
2021-01-24,16,5
2021-01-31,25,9
2021-02-07,27,11
2021-02-14,25,6
2021-02-21,23,6
2021-02-28,29,12
2021-03-07,27,11
2021-03-14,29,7
2021-03-21,30,11
2021-03-28,30,10
2021-04-04,28,7
2021-04-11,22,7
2021-04-18,27,4
2021-04-25,26,5
2021-05-02,19,7
2021-05-09,20,5
2021-05-16,21,7
2021-05-23,15,5
2021-05-30,19,4
2021-06-06,12,3
2021-06-13,12,4
2021-06-20,12,0
2021-06-27,6,0
2021-07-04,6,3
2021-07-11,6,0
2021-07-18,5,0
2021-07-25,4,0
2021-08-01,6,0
2021-08-08,6,0
2021-08-15,7,0
2021-08-22,6,0
2021-08-29,10,0
2021-09-05,0,0
2021-09-12,0,0
2021-09-19,8,0
2021-09-26,8,0
2021-10-03,5,0
2021-10-10,0,0
2021-10-17,5,0
2021-10-24,10,0
2021-10-31,9,0
2021-11-07,8,0
2021-11-14,5,0
2021-11-21,7,0
2021-11-28,9,0
2021-12-05,8,0
2021-12-12,11,0
2021-12-19,12,0
2021-12-26,7,0
2022-01-02,10,5
2022-01-09,17,7
2022-01-16,17,9
2022-01-23,14,7
2022-01-30,12,0
2022-02-06,17,7
2022-02-13,11,3
2022-02-20,11,3
2022-02-27,15,5
2022-03-06,10,0
2022-03-13,20,5
2022-03-20,23,5
2022-03-27,21,6
2022-04-03,30,6
2022-04-10,31,8
2022-04-17,44,10
2022-04-24,60,14
2022-05-01,50,15
2022-05-08,58,14
2022-05-15,35,7
2022-05-22,45,12
2022-05-29,34,11
2022-06-05,35,10
2022-06-12,28,8
2022-06-19,25,7
2022-06-26,25,9
2022-07-03,22,8
2022-07-10,22,6
2022-07-17,18,7
2022-07-24,13,4
2022-07-31,16,4
2022-08-07,13,5
2022-08-14,13,5
2022-08-21,11,3
2022-08-28,10,0
2022-09-04,13,3
2022-09-11,11,3
2022-09-18,8,0
2022-09-25,9,3
2022-10-02,8,0
2022-10-09,11,3
2022-10-16,14,3
2022-10-23,15,5
2022-10-30,13,4
2022-11-06,19,7
2022-11-13,17,6
2022-11-20,19,7
2022-11-27,21,6
2022-12-04,21,6
2022-12-11,20,7
2022-12-18,27,7
2022-12-25,21,6
2023-01-01,19,6
2023-01-08,28,9
2023-01-15,20,5
2023-01-22,26,7
2023-01-29,29,10
2023-02-05,36,10
2023-02-12,46,14
2023-02-19,46,12
2023-02-26,50,13
2023-03-05,57,16
2023-03-12,62,18
2023-03-19,75,18
2023-03-26,90,26
2023-04-02,82,21
2023-04-09,89,26
2023-04-16,88,26
2023-04-23,87,17
2023-04-30,69,18
2023-05-07,69,17
2023-05-14,51,11
2023-05-21,54,13
2023-05-28,36,9
2023-06-04,24,5
2023-06-11,22,5
2023-06-18,24,3
2023-06-25,15,5
2023-07-02,22,5
2023-07-09,14,0
2023-07-16,11,0
2023-07-23,13,0
2023-07-30,9,3
2023-08-06,9,4
2023-08-13,10,0
2023-08-20,7,0
2023-08-27,10,0
2023-09-03,8,4
2023-09-10,9,0
2023-09-17,10,0
2023-09-24,8,3
2023-10-01,10,3
2023-10-08,8,0
2023-10-15,18,4
2023-10-22,9,0
2023-10-29,10,3
2023-11-05,13,0
2023-11-12,10,3
2023-11-19,12,0
2023-11-26,12,5
2023-12-03,11,0
2023-12-10,11,3
2023-12-17,13,0
2023-12-24,14,0
2023-12-31,22,0
2024-01-07,18,5
2024-01-14,21,6
2024-01-21,31,6
2024-01-28,36,6
2024-02-04,47,9
2024-02-11,67,14
2024-02-18,77,16
2024-02-25,80,15
2024-03-03,73,13
2024-03-10,67,16
2024-03-17,70,12
2024-03-24,56,11
2024-03-31,75,13
2024-04-07,81,11
2024-04-14,63,11
2024-04-21,69,16
2024-04-28,70,14
2024-05-05,52,8
2024-05-12,45,10
2024-05-19,35,8
2024-05-26,22,0
2024-06-02,20,4
2024-06-09,19,4
2024-06-16,20,3
2024-06-23,15,3
