Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Sul),sintomas dengue: (Rio Grande do Sul),tratamento dengue: (Rio Grande do Sul)
2023-10-01,3,1,0
2023-10-08,3,<1,0
2023-10-15,4,1,0
2023-10-22,3,1,0
2023-10-29,3,1,0
2023-11-05,4,1,0
2023-11-12,4,1,0
2023-11-19,4,1,0
2023-11-26,5,2,0
2023-12-03,4,1,0
2023-12-10,5,1,0
2023-12-17,4,2,0
2023-12-24,5,2,0
2023-12-31,6,2,0
2024-01-07,7,2,0
2024-01-14,8,3,0
2024-01-21,14,4,0
2024-01-28,20,5,0
2024-02-04,55,13,0
2024-02-11,53,16,1
2024-02-18,89,25,1
2024-02-25,97,25,1
2024-03-03,100,28,1
