"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp_mean","meantemp_mean","maxtemp_mean","minumid_mean","meanumid_mean","maxumid_mean","pop","inc_level","receptive","transmission"
2020-04-05,202015,3248,3248,3248,3248,19.919454946395,23.7076132777437,29.0042918454936,49.3947818350705,73.3842704169221,91.0395625115207,7107781,1.09738580859483,0.810570978481188,0.100140817506898
2020-04-12,202016,3131,3131,3131,3131,19.0320841729129,21.624184356044,26.0363858363858,61.0856483445665,81.2095970152625,94.053261170528,7107781,1.18849821062298,0.856384573469554,0.0663599511577523
2020-04-19,202017,3134,3134,3134,3134,19.069968531725,21.5213676324786,25.6208791208791,61.3683352985348,82.9021118266178,95.312086188895,7107781,1.1165346822025,0.830559213909376,0.0634869025930878
2020-04-26,202018,2764,2764,2764,2764,16.2468402191898,21.0190373243409,26.6676885346413,42.109000416309,65.905495862661,87.8479279771041,7107781,1.11215019145919,0.0142390430993864,0.0620023323734932
2020-05-03,202019,2606,2606,2606,2606,15.8610866227754,20.4856763532763,25.9708994708994,43.7354239387465,69.1032402112332,89.5070303303824,7107781,1.05073552491277,0,0.00749305584963859
2020-05-10,202020,2425,2425,2425,2425,16.0288742402777,20.2103816110444,25.8775510204082,48.3389824939976,72.7756729313725,91.1924243185346,7107781,0.938254147110047,0.00407187559661729,0.0282262495144406
2020-05-17,202021,2221,2221,2221,2221,16.7693467983866,20.7933173577431,25.9807923169267,50.5443969831933,73.9388445534214,91.6003140736755,7107781,0.927368471257063,0.00407187559661729,0
2020-05-24,202022,1845,1845,1845,1845,12.8379858754851,18.2321633598439,24.9012605042017,38.2634914458383,67.8364341601641,131.859966679353,7107781,0.905827430530006,0.0028148025382324,0.0342368455077611
2020-05-31,202023,1899,1899,1899,1899,14.7953638712424,20.4550593739496,26.9431772709084,39.4447284641856,64.8777908987595,87.5793286455118,7107781,0.87627319975109,0,0.262567600211655
2020-06-07,202024,1832,1832,1832,1832,16.0479232445323,20.9710760626251,27.2386954781913,34.4435493469388,61.7592833811525,84.286228460509,7107781,0.846701663993305,0,0.250214799808829
2020-06-14,202025,1952,1952,1952,1952,15.5874033797662,19.5356407073829,24.984593837535,42.771474239896,66.0182517118847,85.1621520569606,7107781,0.922715964377631,0,0.331144839718613
2020-06-21,202026,1789,1789,1789,1789,14.2327376100003,19.2354256163465,25.7368947579032,36.241556282413,60.7447106909764,82.3393374355995,7107781,0.794659683521482,0,0.258054517999359
2020-06-28,202027,1804,1804,1804,1804,14.2022684870722,19.4402910009003,25.9472789115646,36.4932733158263,61.2435916773709,82.438136795511,7107781,0.794709347403923,0,0.228867068357902
2020-07-05,202028,1469,1469,1469,1469,14.8706938758354,19.8533703935575,26.0686274509804,31.8981858241297,55.1569413203281,76.0242159003357,7107781,0.753207505971273,0,0.0340471941946439
