Categoria: Todas as categorias

Semana,dengue: (Acre),sintomas dengue: (Acre)
2020-01-12,14,0
2020-01-19,20,0
2020-01-26,9,0
2020-02-02,15,0
2020-02-09,11,0
2020-02-16,14,0
2020-02-23,7,0
2020-03-01,19,0
2020-03-08,21,0
2020-03-15,18,0
2020-03-22,8,0
2020-03-29,10,0
2020-04-05,10,0
2020-04-12,7,0
2020-04-19,10,0
2020-04-26,13,0
2020-05-03,9,0
2020-05-10,15,9
2020-05-17,9,0
2020-05-24,9,0
2020-05-31,13,0
2020-06-07,15,6
2020-06-14,11,0
2020-06-21,9,0
2020-06-28,6,0
2020-07-05,9,0
2020-07-12,11,0
2020-07-19,0,0
2020-07-26,0,0
2020-08-02,0,0
2020-08-09,6,0
2020-08-16,7,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,6,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,6,0
2020-10-04,7,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,7,6
2020-11-01,0,0
2020-11-08,7,0
2020-11-15,6,0
2020-11-22,13,6
2020-11-29,14,0
2020-12-06,15,0
2020-12-13,19,0
2020-12-20,27,9
2020-12-27,27,8
2021-01-03,46,14
2021-01-10,59,21
2021-01-17,51,23
2021-01-24,57,15
2021-01-31,64,19
2021-02-07,57,15
2021-02-14,67,22
2021-02-21,62,19
2021-02-28,51,17
2021-03-07,44,10
2021-03-14,37,12
2021-03-21,25,9
2021-03-28,23,7
2021-04-04,20,7
2021-04-11,14,0
2021-04-18,15,0
2021-04-25,12,0
2021-05-02,6,0
2021-05-09,7,0
2021-05-16,10,0
2021-05-23,0,0
2021-05-30,6,0
2021-06-06,7,0
2021-06-13,6,0
2021-06-20,7,0
2021-06-27,0,0
2021-07-04,0,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,0,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,0,0
2021-09-12,6,0
2021-09-19,0,0
2021-09-26,0,0
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,0,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,8,0
2021-11-14,0,0
2021-11-21,6,0
2021-11-28,0,0
2021-12-05,7,0
2021-12-12,11,0
2021-12-19,13,0
2021-12-26,10,0
2022-01-02,11,0
2022-01-09,13,0
2022-01-16,15,0
2022-01-23,13,0
2022-01-30,12,0
2022-02-06,5,0
2022-02-13,10,0
2022-02-20,7,0
2022-02-27,7,0
2022-03-06,6,0
2022-03-13,11,0
2022-03-20,8,0
2022-03-27,9,0
2022-04-03,7,0
2022-04-10,8,0
2022-04-17,7,4
2022-04-24,7,0
2022-05-01,9,0
2022-05-08,9,0
2022-05-15,5,0
2022-05-22,8,0
2022-05-29,0,0
2022-06-05,5,0
2022-06-12,0,0
2022-06-19,6,0
2022-06-26,8,0
2022-07-03,6,0
2022-07-10,7,0
2022-07-17,4,0
2022-07-24,4,4
2022-07-31,6,0
2022-08-07,6,0
2022-08-14,4,0
2022-08-21,0,0
2022-08-28,0,0
2022-09-04,0,0
2022-09-11,5,0
2022-09-18,5,0
2022-09-25,0,0
2022-10-02,0,0
2022-10-09,0,0
2022-10-16,5,0
2022-10-23,6,0
2022-10-30,5,0
2022-11-06,5,0
2022-11-13,8,0
2022-11-20,8,0
