Categoria: Todas as categorias,,
,,
Semana,dengue: (Acre),sintomas dengue: (Acre)
2020/6/28,7,0
2020/7/5,7,0
2020/7/12,6,0
2020/7/19,0,0
2020/7/26,0,0
2020/8/2,7,0
2020/8/9,0,0
2020/8/16,0,0
2020/8/23,0,0
2020/8/30,0,0
2020/9/6,5,0
2020/9/13,0,0
2020/9/20,0,0
2020/9/27,0,0
2020/10/4,5,0
2020/10/11,0,0
2020/10/18,6,0
2020/10/25,5,0
2020/11/1,8,0
2020/11/8,5,0
2020/11/15,8,0
2020/11/22,15,5
2020/11/29,16,0
2020/12/6,16,6
2020/12/13,18,0
2020/12/20,28,8
2020/12/27,25,7
2021/1/3,46,13
2021/1/10,54,20
2021/1/17,52,16
2021/1/24,56,17
2021/1/31,65,19
2021/2/7,60,16
2021/2/14,66,21
2021/2/21,61,14
2021/2/28,50,19
2021/3/7,44,11
2021/3/14,38,12
2021/3/21,23,12
2021/3/28,24,6
2021/4/4,19,0
2021/4/11,12,0
2021/4/18,15,0
2021/4/25,10,0
2021/5/2,7,0
2021/5/9,7,0
2021/5/16,9,0
2021/5/23,0,0
2021/5/30,6,0
2021/6/6,9,0
2021/6/13,5,0
2021/6/20,5,0
2021/6/27,0,0
2021/7/4,7,0
2021/7/11,0,0
2021/7/18,0,0
2021/7/25,0,0
2021/8/1,0,0
2021/8/8,0,0
2021/8/15,0,0
2021/8/22,0,0
2021/8/29,0,0
2021/9/5,0,0
2021/9/12,0,0
2021/9/19,0,0
2021/9/26,0,0
2021/10/3,0,0
2021/10/10,6,0
2021/10/17,0,0
2021/10/24,0,0
2021/10/31,8,0
2021/11/7,0,0
2021/11/14,0,0
2021/11/21,0,0
2021/11/28,8,0
2021/12/5,6,0
2021/12/12,11,0
2021/12/19,7,0
2021/12/26,9,0
2022/1/2,11,0
2022/1/9,13,0
2022/1/16,15,0
2022/1/23,13,0
2022/1/30,10,0
2022/2/6,7,0
2022/2/13,8,0
2022/2/20,6,0
2022/2/27,10,0
2022/3/6,8,0
2022/3/13,10,0
2022/3/20,9,0
2022/3/27,10,0
2022/4/3,7,0
2022/4/10,9,0
2022/4/17,7,4
2022/4/24,6,0
2022/5/1,13,0
2022/5/8,8,0
2022/5/15,5,0
2022/5/22,7,0
2022/5/29,5,0
2022/6/5,6,0
2022/6/12,0,0
2022/6/19,6,0
2022/6/26,8,0
2022/7/3,7,0
2022/7/10,10,0
2022/7/17,4,0
2022/7/24,4,0
2022/7/31,6,0
2022/8/7,4,0
2022/8/14,5,0
2022/8/21,4,0
2022/8/28,5,0
2022/9/4,0,0
2022/9/11,4,0
2022/9/18,5,0
2022/9/25,0,0
2022/10/2,5,0
2022/10/9,0,0
2022/10/16,0,0
2022/10/23,6,0
2022/10/30,0,0
2022/11/6,4,0
2022/11/13,8,0
2022/11/20,7,0
2022/11/27,6,0
2022/12/4,8,0
2022/12/11,5,0
2022/12/18,6,0
2022/12/25,0,0
2023/1/1,10,0
2023/1/8,7,0
2023/1/15,5,0
2023/1/22,7,0
2023/1/29,15,0
2023/2/5,13,0
2023/2/12,19,0
2023/2/19,12,0
2023/2/26,15,6
2023/3/5,14,0
2023/3/12,18,7
2023/3/19,14,4
2023/3/26,15,0
2023/4/2,20,6
2023/4/9,21,6
2023/4/16,20,7
2023/4/23,19,6
2023/4/30,13,4
2023/5/7,12,0
2023/5/14,14,0
2023/5/21,10,0
2023/5/28,10,0
2023/6/4,7,0
2023/6/11,0,0
2023/6/18,6,0
2023/6/25,4,0
2023/7/2,11,0
2023/7/9,7,0
2023/7/16,6,0
2023/7/23,7,0
2023/7/30,0,0
2023/8/6,0,0
2023/8/13,0,0
2023/8/20,5,0
2023/8/27,0,0
2023/9/3,0,0
2023/9/10,0,0
2023/9/17,0,0
2023/9/24,0,0
2023/10/1,5,0
2023/10/8,5,0
2023/10/15,7,0
2023/10/22,7,0
2023/10/29,7,0
2023/11/5,17,0
2023/11/12,12,0
2023/11/19,21,5
2023/11/26,26,8
2023/12/3,42,12
2023/12/10,84,18
2023/12/17,100,19
2023/12/24,92,22
2023/12/31,93,19
2024/1/7,88,15
2024/1/14,56,11
2024/1/21,45,8
2024/1/28,33,0
2024/2/4,30,0
2024/2/11,34,8
2024/2/18,29,5
2024/2/25,18,0
2024/3/3,21,0
2024/3/10,18,0
2024/3/17,18,0
2024/3/24,15,0
2024/3/31,14,0
2024/4/7,19,0
2024/4/14,18,0
2024/4/21,18,0
2024/4/28,13,0
2024/5/5,8,0
2024/5/12,9,0
2024/5/19,5,0
2024/5/26,5,0
2024/6/2,8,0
2024/6/9,9,0
2024/6/16,0,0
2024/6/23,6,0
2024/6/30,0,0
2024/7/7,0,0
2024/7/14,0,0
2024/7/21,0,0
2024/7/28,0,0
2024/8/4,0,0
2024/8/11,0,0
2024/8/18,8,0
2024/8/25,7,0
2024/9/1,0,0
2024/9/8,5,0
2024/9/15,5,0
2024/9/22,0,0
2024/9/29,0,0
2024/10/6,5,0
2024/10/13,6,0
2024/10/20,9,0
2024/10/27,9,0
2024/11/3,8,0
2024/11/10,8,0
2024/11/17,12,0
2024/11/24,14,0
2024/12/1,13,0
2024/12/8,12,0
2024/12/15,26,0
2024/12/22,25,0
2024/12/29,21,0
2025/1/5,31,6
2025/1/12,30,0
2025/1/19,18,0
2025/1/26,22,0
2025/2/2,20,0
2025/2/9,21,0
2025/2/16,19,0
2025/2/23,17,0
2025/3/2,14,0
2025/3/9,11,0
2025/3/16,13,0
2025/3/23,15,6
2025/3/30,16,0
2025/4/6,14,0
2025/4/13,8,0
2025/4/20,10,0
2025/4/27,10,0
2025/5/4,7,0
2025/5/11,10,0
