Categoria: Todas as categorias,,
,,
Semana,dengue: (Rond?nia),sintomas dengue: (Rond?nia)
2020/6/28,11,5
2020/7/5,16,7
2020/7/12,13,5
2020/7/19,11,0
2020/7/26,8,0
2020/8/2,12,0
2020/8/9,9,0
2020/8/16,7,0
2020/8/23,7,0
2020/8/30,7,0
2020/9/6,9,0
2020/9/13,7,0
2020/9/20,7,0
2020/9/27,0,0
2020/10/4,9,0
2020/10/11,0,0
2020/10/18,7,0
2020/10/25,6,0
2020/11/1,5,0
2020/11/8,10,0
2020/11/15,10,0
2020/11/22,11,0
2020/11/29,10,0
2020/12/6,11,0
2020/12/13,11,0
2020/12/20,13,7
2020/12/27,12,5
2021/1/3,13,0
2021/1/10,14,9
2021/1/17,16,4
2021/1/24,17,11
2021/1/31,12,6
2021/2/7,19,6
2021/2/14,17,0
2021/2/21,23,8
2021/2/28,22,0
2021/3/7,25,7
2021/3/14,23,6
2021/3/21,24,5
2021/3/28,19,5
2021/4/4,23,4
2021/4/11,19,4
2021/4/18,15,5
2021/4/25,12,0
2021/5/2,12,0
2021/5/9,12,0
2021/5/16,14,0
2021/5/23,15,0
2021/5/30,11,0
2021/6/6,9,0
2021/6/13,11,0
2021/6/20,14,0
2021/6/27,6,0
2021/7/4,0,0
2021/7/11,8,0
2021/7/18,0,0
2021/7/25,0,0
2021/8/1,6,0
2021/8/8,4,0
2021/8/15,0,0
2021/8/22,0,0
2021/8/29,6,0
2021/9/5,11,0
2021/9/12,0,0
2021/9/19,0,0
2021/9/26,6,0
2021/10/3,8,0
2021/10/10,6,0
2021/10/17,10,0
2021/10/24,12,0
2021/10/31,7,0
2021/11/7,9,0
2021/11/14,10,8
2021/11/21,12,0
2021/11/28,10,0
2021/12/5,9,0
2021/12/12,12,0
2021/12/19,15,0
2021/12/26,15,0
2022/1/2,25,7
2022/1/9,29,12
2022/1/16,30,11
2022/1/23,27,10
2022/1/30,30,9
2022/2/6,30,10
2022/2/13,26,8
2022/2/20,28,6
2022/2/27,28,8
2022/3/6,28,7
2022/3/13,31,5
2022/3/20,38,8
2022/3/27,44,8
2022/4/3,36,8
2022/4/10,40,10
2022/4/17,35,8
