Categoria: Todas as categorias,,
,,
Semana,dengue: (Rond?nia),sintomas dengue: (Rond?nia)
2022/4/24,37,9
2022/5/1,33,7
2022/5/8,39,9
2022/5/15,34,11
2022/5/22,31,8
2022/5/29,28,6
2022/6/5,27,5
2022/6/12,27,8
2022/6/19,24,9
2022/6/26,26,8
2022/7/3,20,7
2022/7/10,18,6
2022/7/17,18,8
2022/7/24,16,0
2022/7/31,8,4
2022/8/7,15,4
2022/8/14,12,3
2022/8/21,11,0
2022/8/28,12,0
2022/9/4,6,0
2022/9/11,12,0
2022/9/18,9,0
2022/9/25,7,4
2022/10/2,8,0
2022/10/9,10,4
2022/10/16,13,5
2022/10/23,11,0
2022/10/30,17,4
2022/11/6,15,4
2022/11/13,23,5
2022/11/20,25,5
2022/11/27,27,7
2022/12/4,24,7
2022/12/11,35,12
2022/12/18,39,13
2022/12/25,44,14
2023/1/1,46,14
2023/1/8,49,15
2023/1/15,54,16
2023/1/22,45,14
2023/1/29,45,13
2023/2/5,44,12
2023/2/12,58,15
2023/2/19,50,13
2023/2/26,50,17
2023/3/5,52,16
2023/3/12,52,11
2023/3/19,46,12
2023/3/26,46,12
2023/4/2,37,11
2023/4/9,30,9
2023/4/16,32,8
2023/4/23,25,5
2023/4/30,24,6
2023/5/7,20,6
2023/5/14,19,0
2023/5/21,18,6
2023/5/28,16,5
2023/6/4,12,0
2023/6/11,12,0
2023/6/18,12,0
2023/6/25,10,0
2023/7/2,11,0
2023/7/9,6,0
2023/7/16,6,0
2023/7/23,5,0
2023/7/30,4,0
2023/8/6,7,0
2023/8/13,11,0
2023/8/20,7,0
2023/8/27,7,0
2023/9/3,6,0
2023/9/10,7,0
2023/9/17,6,0
2023/9/24,10,0
2023/10/1,7,0
2023/10/8,8,0
2023/10/15,9,0
2023/10/22,13,0
2023/10/29,10,0
2023/11/5,8,0
2023/11/12,8,0
2023/11/19,7,0
2023/11/26,9,0
2023/12/3,10,0
2023/12/10,11,0
2023/12/17,17,0
2023/12/24,17,0
2023/12/31,21,8
2024/1/7,24,6
2024/1/14,24,7
2024/1/21,30,9
2024/1/28,45,10
2024/2/4,68,20
2024/2/11,94,18
2024/2/18,95,17
2024/2/25,100,24
2024/3/3,82,16
2024/3/10,85,18
2024/3/17,73,10
2024/3/24,52,8
2024/3/31,55,11
2024/4/7,47,9
2024/4/14,42,9
2024/4/21,41,7
2024/4/28,38,7
2024/5/5,27,0
2024/5/12,18,0
2024/5/19,17,5
2024/5/26,15,0
2024/6/2,19,0
2024/6/9,8,0
2024/6/16,12,0
2024/6/23,9,0
2024/6/30,13,0
2024/7/7,11,0
2024/7/14,8,0
2024/7/21,9,0
2024/7/28,8,0
2024/8/4,6,0
2024/8/11,9,0
2024/8/18,5,0
2024/8/25,8,0
2024/9/1,7,0
2024/9/8,7,0
2024/9/15,5,0
2024/9/22,10,0
2024/9/29,7,0
2024/10/6,7,0
2024/10/13,5,0
2024/10/20,11,0
2024/10/27,8,0
2024/11/3,9,0
2024/11/10,9,0
2024/11/17,11,0
2024/11/24,13,0
2024/12/1,11,0
2024/12/8,9,0
2024/12/15,10,0
2024/12/22,14,0
2024/12/29,7,0
2025/1/5,12,0
2025/1/12,11,0
2025/1/19,14,0
2025/1/26,14,5
2025/2/2,17,0
2025/2/9,20,0
2025/2/16,21,5
2025/2/23,22,0
2025/3/2,20,0
2025/3/9,28,0
2025/3/16,32,5
2025/3/23,24,0
2025/3/30,23,6
2025/4/6,31,0
2025/4/13,23,6
2025/4/20,26,5
2025/4/27,26,0
2025/5/4,20,0
2025/5/11,24,0
