"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","dengue","sintomas.dengue","uf","lwr","upr","prediction"
2019-03-17,201912,350,350,350,350,10,0,"AC",69.7894736842105,700.176470588235,337.00342094269
2019-03-24,201913,307,307,307,307,19,0,"AC",129,1007.23529411765,531.872951895461
2019-03-31,201914,287,287,287,287,0,0,"AC",4,359,120.481719884056
2019-04-07,201915,217,217,217,217,0,0,"AC",4,359,120.481719884056
2019-04-14,201916,184,184,184,184,12,0,"AC",82.9473684210526,768.411764705882,380.307761154417
2019-04-21,201917,160,160,160,160,0,0,"AC",4,359,120.481719884056
2019-04-28,201918,196,196,196,196,0,0,"AC",4,359,120.481719884056
2019-05-05,201919,152,152,152,152,0,12,"AC",40.2296650717703,538.294117647059,314.504933230802
2019-05-12,201920,155,155,155,155,0,0,"AC",4,359,120.481719884056
2019-05-19,201921,137,137,137,137,0,0,"AC",4,359,120.481719884056
2019-05-26,201922,112,112,112,112,0,0,"AC",4,359,120.481719884056
2019-06-02,201923,93,93,93,93,0,0,"AC",4,359,120.481719884056
2019-06-09,201924,106,106,106,106,13,10,"AC",119.717703349282,951.941176470588,563.645942382568
2019-06-16,201925,87,87,87,87,0,0,"AC",4,359,120.481719884056
2019-06-23,201926,93,93,93,93,0,0,"AC",4,359,120.481719884056
2019-06-30,201927,74,74,74,74,0,0,"AC",4,359,120.481719884056
2019-07-07,201928,86,86,86,86,0,0,"AC",4,359,120.481719884056
2019-07-14,201929,84,84,84,84,0,0,"AC",4,359,120.481719884056
2019-07-21,201930,68,68,68,68,0,0,"AC",4,359,120.481719884056
2019-07-28,201931,102,102,102,102,0,0,"AC",4,359,120.481719884056
2019-08-04,201932,67,67,67,67,0,0,"AC",4,359,120.481719884056
2019-08-11,201933,52,52,52,52,11,0,"AC",76.3684210526316,734.294117647059,358.655591048553
2019-08-18,201934,84,84,84,84,0,0,"AC",4,359,120.481719884056
2019-08-25,201935,91,91,91,91,0,0,"AC",4,359,120.481719884056
2019-09-01,201936,73,73,73,73,0,0,"AC",4,359,120.481719884056
2019-09-08,201937,119,119,119,119,10,0,"AC",69.7894736842105,700.176470588235,337.00342094269
2019-09-15,201938,103,103,103,103,10,11,"AC",103,864.529411764706,514.858033177207
2019-09-22,201939,79,79,79,79,0,0,"AC",4,359,120.481719884056
2019-09-29,201940,203,203,203,203,0,0,"AC",4,359,120.481719884056
2019-10-06,201941,285,285,285,285,0,0,"AC",4,359,120.481719884056
2019-10-13,201942,278,278,278,278,9,0,"AC",63.2105263157895,666.058823529412,315.351250836827
2019-10-20,201943,352,352,352,352,11,0,"AC",76.3684210526316,734.294117647059,358.655591048553
2019-10-27,201944,420,420,420,420,12,0,"AC",82.9473684210526,768.411764705882,380.307761154417
2019-11-03,201945,630,630,630,630,0,0,"AC",4,359,120.481719884056
2019-11-10,201946,809,809,809,809,14,0,"AC",96.1052631578947,836.64705882353,423.612101366144
2019-11-17,201947,919,919,919,919,20,0,"AC",135.578947368421,1041.35294117647,553.525122001324
2019-11-24,201948,866,866,866,866,17,0,"AC",115.842105263158,939,488.568611683734
2019-12-01,201949,1015,1015,1015,1015,16,0,"AC",109.263157894737,904.882352941177,466.91644157787
2019-12-08,201950,947,947,947,947,28,0,"AC",188.210526315789,1314.29411764706,726.742482848231
2019-12-15,201951,787,787,787,787,15,0,"AC",102.684210526316,870.764705882353,445.264271472007
2019-12-22,201952,491,491,491,491,22,11,"AC",181.947368421053,1273.94117647059,774.684074447567
2019-12-29,202001,642,642,642,642,23,0,"AC",155.315789473684,1143.70588235294,618.481632318914
2020-01-05,202002,975,975,975,975,28,0,"AC",188.210526315789,1314.29411764706,726.742482848231
2020-01-12,202003,939,939,939,939,17,0,"AC",115.842105263158,939,488.568611683734
2020-01-19,202004,753,753,753,753,12,0,"AC",82.9473684210526,768.411764705882,380.307761154417
2020-01-26,202005,718,718,718,718,15,11,"AC",135.894736842105,1035.11764705882,623.118883706524
2020-02-02,202006,542,542,542,542,11,0,"AC",76.3684210526316,734.294117647059,358.655591048553
2020-02-09,202007,546,546,546,546,14,0,"AC",96.1052631578947,836.64705882353,423.612101366144
2020-02-16,202008,386,386,386,386,16,0,"AC",109.263157894737,904.882352941177,466.91644157787
2020-02-23,202009,331,331,331,331,0,0,"AC",4,359,120.481719884056
2020-03-01,202010,304,304,304,304,12,0,"AC",82.9473684210526,768.411764705882,380.307761154417
2020-03-08,202011,267,267,267,267,16,0,"AC",109.263157894737,904.882352941177,466.91644157787
2020-03-15,202012,129,129,129,129,19,0,"AC",129,1007.23529411765,531.872951895461
2020-03-22,202013,84,84,84,84,13,0,"AC",89.5263157894737,802.529411764706,401.95993126028
2020-03-29,202014,85,85,85,85,8,0,"AC",56.6315789473684,631.941176470588,293.699080730963
