"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","dengue","sintomas.dengue","uf","lwr","upr","prediction"
2019-03-24,201913,79703,79703,79703,79703,16,4,"BR",40172.625,112776.846153846,69605.9599216373
2019-03-31,201914,89766,89766,89766,89766,16,4,"BR",40172.625,112776.846153846,69605.9599216373
2019-04-07,201915,98240,98240,98240,98240,16,4,"BR",40172.625,112776.846153846,69605.9599216373
2019-04-14,201916,101594,101594,101594,NA,16,5,"BR",41420.875,115773.307692308,81930.6524986044
2019-04-21,201917,115410,115410,115410,NA,21,6,"BR",55676,152617.461538462,102560.244999797
2019-04-28,201918,117676,117676,117676,NA,24,6,"BR",63480.125,172926.076923077,107543.184954333
2019-05-05,201919,121045,121045,121045,NA,21,6,"BR",55676,152617.461538462,102560.244999797
2019-05-12,201920,110304,110304,110304,NA,20,5,"BR",51826.375,142851.461538462,88574.5724379852
2019-05-19,201921,90946,90946,90946,NA,21,5,"BR",54427.75,149621,90235.5524228304
2019-05-26,201922,71481,71481,71481,71481,17,5,"BR",44022.25,122542.846153846,83591.6324834496
2019-06-02,201923,53508,53508,53508,53508,15,4,"BR",37571.25,106007.307692308,67944.9799367922
2019-06-09,201924,42418,42418,42418,42418,12,3,"BR",28518.875,82702.2307692308,50637.3474052895
2019-06-16,201925,31866,31866,31866,31866,9,3,"BR",20714.75,62393.6153846154,45654.4074507539
2019-06-23,201926,27634,27634,27634,27634,9,3,"BR",20714.75,62393.6153846154,45654.4074507539
2019-06-30,201927,19943,19943,19943,19943,6,2,"BR",11662.375,39088.5384615385,28346.7749192512
2019-07-07,201928,15228,15228,15228,15228,5,1,"BR",7812.75,29322.5384615385,14361.102357439
2019-07-14,201929,12269,12269,12269,12269,5,1,"BR",7812.75,29322.5384615385,14361.102357439
2019-07-21,201930,10828,10828,10828,10828,4,1,"BR",5211.375,22553,12700.1223725938
2019-07-28,201931,9549,9549,9549,9549,4,1,"BR",5211.375,22553,12700.1223725938
2019-08-04,201932,8937,8937,8937,8937,4,1,"BR",5211.375,22553,12700.1223725938
2019-08-11,201933,8065,8065,8065,8065,4,1,"BR",5211.375,22553,12700.1223725938
2019-08-18,201934,7519,7519,7519,7519,4,1,"BR",5211.375,22553,12700.1223725938
2019-08-25,201935,6976,6976,6976,6976,4,1,"BR",5211.375,22553,12700.1223725938
2019-09-01,201936,6896,6896,6896,6896,3,1,"BR",2610,15783.4615384615,11039.1423877486
2019-09-08,201937,7457,7457,7457,7457,4,1,"BR",5211.375,22553,12700.1223725938
2019-09-15,201938,7225,7225,7225,7225,4,1,"BR",5211.375,22553,12700.1223725938
2019-09-22,201939,6249,6249,6249,6249,3,1,"BR",2610,15783.4615384615,11039.1423877486
2019-09-29,201940,6870,6870,6870,6870,3,1,"BR",2610,15783.4615384615,11039.1423877486
2019-10-06,201941,6555,6555,6555,6555,3,1,"BR",2610,15783.4615384615,11039.1423877486
2019-10-13,201942,6811,6811,6811,6811,3,1,"BR",2610,15783.4615384615,11039.1423877486
2019-10-20,201943,6286,6286,6286,6286,3,1,"BR",2610,15783.4615384615,11039.1423877486
2019-10-27,201944,6729,6729,6729,6729,3,1,"BR",2610,15783.4615384615,11039.1423877486
2019-11-03,201945,7025,7025,7025,7025,4,1,"BR",5211.375,22553,12700.1223725938
2019-11-10,201946,6945,6945,6945,6945,4,1,"BR",5211.375,22553,12700.1223725938
2019-11-17,201947,7967,7967,7967,7967,4,1,"BR",5211.375,22553,12700.1223725938
2019-11-24,201948,8191,8191,8191,8191,3,1,"BR",2610,15783.4615384615,11039.1423877486
2019-12-01,201949,9394,9394,9394,9394,3,1,"BR",2610,15783.4615384615,11039.1423877486
2019-12-08,201950,10519,10519,10519,10519,3,1,"BR",2610,15783.4615384615,11039.1423877486
2019-12-15,201951,10286,10286,10286,10286,3,1,"BR",2610,15783.4615384615,11039.1423877486
2019-12-22,201952,8039,8039,8039,8039,4,1,"BR",5211.375,22553,12700.1223725938
2019-12-29,202001,11545,11545,11545,11545,4,1,"BR",5211.375,22553,12700.1223725938
2020-01-05,202002,24522,24522,24522,24522,5,1,"BR",7812.75,29322.5384615385,14361.102357439
2020-01-12,202003,32883,32883,32883,32883,6,2,"BR",11662.375,39088.5384615385,28346.7749192512
2020-01-19,202004,42587,42587,42587,42587,7,2,"BR",14263.75,45858.0769230769,30007.7549040964
2020-01-26,202005,48220,48220,48220,48220,8,2,"BR",16865.125,52627.6153846154,31668.7348889416
2020-02-02,202006,61807,61807,61807,61807,9,2,"BR",19466.5,59397.1538461538,33329.7148737868
2020-02-09,202007,72897,72897,72897,72897,13,3,"BR",31120.25,89471.7692307692,52298.3273901347
2020-02-16,202008,64691,64691,64691,64691,15,4,"BR",37571.25,106007.307692308,67944.9799367922
2020-02-23,202009,65974,65974,65974,65974,14,4,"BR",34969.875,99237.7692307692,66283.999951947
2020-03-01,202010,73027,73027,73027,73027,15,4,"BR",37571.25,106007.307692308,67944.9799367922
2020-03-08,202011,68082,68082,68082,68082,19,4,"BR",47976.75,133085.461538462,74588.899876173
2020-03-15,202012,48415,48415,48415,48415,20,5,"BR",51826.375,142851.461538462,88574.5724379852
2020-03-22,202013,42774,42774,42774,42774,17,4,"BR",42774,119546.384615385,71266.9399064826
2020-03-29,202014,42565,42565,42565,42565,14,3,"BR",33721.625,96241.3076923077,53959.3073749799
2020-04-05,202015,39863,39863,39863,39863,12,3,"BR",28518.875,82702.2307692308,50637.3474052895
