"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","dengue","sintomas.dengue","uf","lwr","upr","prediction"
2019-05-19,201921,112382,112382,112382,NA,19,5,"BR",87669.6,163239,114795.527326033
2019-05-26,201922,93041,93041,93041,93041,17,4,"BR",72936.6,140748,98169.1367295549
2019-06-02,201923,72283,72283,72283,72283,14,4,"BR",63235.8,122790,85288.6911959166
2019-06-09,201924,57992,57992,57992,57992,12,3,"BR",48502.8,100299,68662.3005994387
2019-06-16,201925,43876,43876,43876,43876,10,3,"BR",42035.6,88327,60075.3369103465
2019-06-23,201926,38802,38802,38802,38802,9,3,"BR",38802,82341,55781.8550658004
2019-06-30,201927,30071,30071,30071,30071,6,2,"BR",20835.4,53864,34861.9826247763
2019-07-07,201928,23822,23822,23822,23822,4,1,"BR",6102.4,31373,18235.5920282984
2019-07-14,201929,19640,19640,19640,19640,4,1,"BR",6102.4,31373,18235.5920282984
2019-07-21,201930,17059,17059,17059,17059,4,1,"BR",6102.4,31373,18235.5920282984
2019-07-28,201931,15277,15277,15277,15277,4,1,"BR",6102.4,31373,18235.5920282984
2019-08-04,201932,14213,14213,14213,14213,4,1,"BR",6102.4,31373,18235.5920282984
2019-08-11,201933,12520,12520,12520,12520,4,1,"BR",6102.4,31373,18235.5920282984
2019-08-18,201934,11729,11729,11729,11729,4,1,"BR",6102.4,31373,18235.5920282984
2019-08-25,201935,10705,10705,10705,10705,4,1,"BR",6102.4,31373,18235.5920282984
2019-09-01,201936,10566,10566,10566,10566,3,1,"BR",2868.8,25387,13942.1101837523
2019-09-08,201937,10952,10952,10952,10952,4,1,"BR",6102.4,31373,18235.5920282984
2019-09-15,201938,10636,10636,10636,10636,4,1,"BR",6102.4,31373,18235.5920282984
2019-09-22,201939,9369,9369,9369,9369,3,1,"BR",2868.8,25387,13942.1101837523
2019-09-29,201940,10214,10214,10214,10214,3,1,"BR",2868.8,25387,13942.1101837523
2019-10-06,201941,9648,9648,9648,9648,3,1,"BR",2868.8,25387,13942.1101837523
2019-10-13,201942,9928,9928,9928,9928,3,1,"BR",2868.8,25387,13942.1101837523
2019-10-20,201943,9468,9468,9468,9468,3,1,"BR",2868.8,25387,13942.1101837523
2019-10-27,201944,10137,10137,10137,10137,3,1,"BR",2868.8,25387,13942.1101837523
2019-11-03,201945,10645,10645,10645,10645,4,1,"BR",6102.4,31373,18235.5920282984
2019-11-10,201946,10552,10552,10552,10552,4,1,"BR",6102.4,31373,18235.5920282984
2019-11-17,201947,11844,11844,11844,11844,4,1,"BR",6102.4,31373,18235.5920282984
2019-11-24,201948,12007,12007,12007,12007,3,1,"BR",2868.8,25387,13942.1101837523
2019-12-01,201949,13488,13488,13488,13488,3,1,"BR",2868.8,25387,13942.1101837523
2019-12-08,201950,14688,14688,14688,14688,3,1,"BR",2868.8,25387,13942.1101837523
2019-12-15,201951,13930,13930,13930,13930,3,1,"BR",2868.8,25387,13942.1101837523
