"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","dengue","sintomas.dengue","uf","lwr","upr","prediction"
2019-05-12,201920,132149,132149,132149,NA,19,5,"BR",79126.5,160481.923076923,113179.994777239
2019-05-19,201921,112382,112382,112382,NA,20,5,"BR",82919,166165.769230769,117106.167724552
2019-05-26,201922,93041,93041,93041,93041,17,4,"BR",68370.5,138165.923076923,96281.2251985928
2019-06-02,201923,72283,72283,72283,72283,13,4,"BR",53200.5,115430.538461538,80576.5334093415
2019-06-09,201924,57992,57992,57992,57992,12,3,"BR",46237,98798.3846153846,67603.9367780083
2019-06-16,201925,43876,43876,43876,43876,10,3,"BR",38652,87430.6923076923,59751.5908833827
2019-06-23,201926,38802,38802,38802,38802,9,3,"BR",34859.5,81746.8461538461,55825.4179360698
2019-06-30,201927,30071,30071,30071,30071,6,2,"BR",20311,53747,35000.4754101111
2019-07-07,201928,23822,23822,23822,23822,5,1,"BR",13347.5,37114.8461538461,22027.8787787779
2019-07-14,201929,19640,19640,19640,19640,4,1,"BR",9555,31431,18101.7058314651
2019-07-21,201930,17059,17059,17059,17059,4,1,"BR",9555,31431,18101.7058314651
2019-07-28,201931,15277,15277,15277,15277,4,1,"BR",9555,31431,18101.7058314651
2019-08-04,201932,14213,14213,14213,14213,4,1,"BR",9555,31431,18101.7058314651
2019-08-11,201933,12520,12520,12520,12520,4,1,"BR",9555,31431,18101.7058314651
2019-08-18,201934,11729,11729,11729,11729,4,1,"BR",9555,31431,18101.7058314651
2019-08-25,201935,10705,10705,10705,10705,4,1,"BR",9555,31431,18101.7058314651
2019-09-01,201936,10566,10566,10566,10566,3,1,"BR",5762.5,25747.1538461538,14175.5328841523
2019-09-08,201937,10952,10952,10952,10952,4,1,"BR",9555,31431,18101.7058314651
2019-09-15,201938,10636,10636,10636,10636,4,1,"BR",9555,31431,18101.7058314651
2019-09-22,201939,9369,9369,9369,9369,3,1,"BR",5762.5,25747.1538461538,14175.5328841523
2019-09-29,201940,10214,10214,10214,10214,3,1,"BR",5762.5,25747.1538461538,14175.5328841523
2019-10-06,201941,9648,9648,9648,9648,3,1,"BR",5762.5,25747.1538461538,14175.5328841523
2019-10-13,201942,9928,9928,9928,9928,3,1,"BR",5762.5,25747.1538461538,14175.5328841523
2019-10-20,201943,9468,9468,9468,9468,3,1,"BR",5762.5,25747.1538461538,14175.5328841523
2019-10-27,201944,10137,10137,10137,10137,3,1,"BR",5762.5,25747.1538461538,14175.5328841523
2019-11-03,201945,10645,10645,10645,10645,4,1,"BR",9555,31431,18101.7058314651
2019-11-10,201946,10552,10552,10552,10552,4,1,"BR",9555,31431,18101.7058314651
2019-11-17,201947,11844,11844,11844,11844,4,1,"BR",9555,31431,18101.7058314651
2019-11-24,201948,12007,12007,12007,12007,3,1,"BR",5762.5,25747.1538461538,14175.5328841523
2019-12-01,201949,13488,13488,13488,13488,3,1,"BR",5762.5,25747.1538461538,14175.5328841523
2019-12-08,201950,14688,14688,14688,14688,3,1,"BR",5762.5,25747.1538461538,14175.5328841523
2019-12-15,201951,13930,13930,13930,13930,3,1,"BR",5762.5,25747.1538461538,14175.5328841523
2019-12-22,201952,10961,10961,10961,10961,4,1,"BR",9555,31431,18101.7058314651
2019-12-29,202001,14880,14880,14880,14880,4,1,"BR",9555,31431,18101.7058314651
2020-01-05,202002,30642,30642,30642,30642,4,1,"BR",9555,31431,18101.7058314651
