Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso),tratamento dengue: (Mato Grosso)
2019-03-24,19,6,0
2019-03-31,19,0,0
2019-04-07,22,0,0
2019-04-14,19,0,0
2019-04-21,15,0,0
2019-04-28,21,9,0
2019-05-05,29,8,0
2019-05-12,24,8,0
2019-05-19,24,7,0
2019-05-26,21,4,0
2019-06-02,21,5,0
2019-06-09,18,5,0
2019-06-16,17,7,0
2019-06-23,18,6,0
2019-06-30,12,0,0
2019-07-07,11,0,0
2019-07-14,8,0,0
2019-07-21,5,0,0
2019-07-28,8,0,0
2019-08-04,4,0,0
2019-08-11,14,0,0
2019-08-18,7,0,0
2019-08-25,9,0,0
2019-09-01,9,0,0
2019-09-08,5,0,0
2019-09-15,8,0,0
2019-09-22,9,6,0
2019-09-29,6,0,0
2019-10-06,6,0,0
2019-10-13,10,0,0
2019-10-20,11,0,0
2019-10-27,7,0,0
2019-11-03,13,4,0
2019-11-10,13,0,0
2019-11-17,8,0,0
2019-11-24,15,3,0
2019-12-01,11,4,0
2019-12-08,17,4,0
2019-12-15,16,5,0
2019-12-22,18,5,0
2019-12-29,22,7,0
2020-01-05,28,12,0
2020-01-12,39,11,0
2020-01-19,41,10,0
2020-01-26,32,5,0
2020-02-02,44,11,0
2020-02-09,43,12,0
2020-02-16,45,9,0
2020-02-23,38,9,0
2020-03-01,41,6,0
2020-03-08,61,15,0
2020-03-15,80,22,0
2020-03-22,55,16,0
2020-03-29,46,11,0
2020-04-05,40,9,0
2020-04-12,37,7,0
2020-04-19,35,8,0
2020-04-26,34,10,0
2020-05-03,33,9,4
2020-05-10,30,11,0
2020-05-17,24,4,0
2020-05-24,29,6,0
2020-05-31,29,9,0
2020-06-07,30,11,0
2020-06-14,33,11,0
2020-06-21,32,10,0
2020-06-28,26,10,0
2020-07-05,22,9,0
2020-07-12,19,7,0
2020-07-19,20,6,0
2020-07-26,17,5,0
2020-08-02,12,4,0
2020-08-09,15,5,0
2020-08-16,14,3,0
2020-08-23,10,0,0
2020-08-30,7,3,0
2020-09-06,6,4,0
2020-09-13,5,0,0
2020-09-20,11,7,0
2020-09-27,12,0,0
2020-10-04,5,0,0
2020-10-11,6,0,0
2020-10-18,9,0,0
2020-10-25,4,0,0
2020-11-01,10,0,0
2020-11-08,8,0,0
2020-11-15,5,0,4
2020-11-22,10,6,0
2020-11-29,10,0,0
2020-12-06,9,3,0
2020-12-13,12,4,0
2020-12-20,11,0,0
2020-12-27,18,7,0
2021-01-03,15,7,0
2021-01-10,16,7,0
2021-01-17,21,6,0
2021-01-24,16,6,0
2021-01-31,19,6,0
2021-02-07,20,4,0
2021-02-14,18,8,0
2021-02-21,20,7,0
2021-02-28,23,7,0
2021-03-07,26,9,3
2021-03-14,26,9,0
2021-03-21,27,13,3
2021-03-28,25,9,0
2021-04-04,29,9,0
2021-04-11,24,9,0
2021-04-18,22,5,0
2021-04-25,19,3,0
2021-05-02,18,5,0
2021-05-09,22,5,0
2021-05-16,20,3,0
2021-05-23,23,6,0
2021-05-30,20,6,0
2021-06-06,18,4,0
2021-06-13,15,6,0
2021-06-20,16,6,0
2021-06-27,7,0,0
2021-07-04,11,4,0
2021-07-11,14,4,0
2021-07-18,8,5,0
2021-07-25,7,0,0
2021-08-01,7,0,0
2021-08-08,10,0,0
2021-08-15,6,0,0
2021-08-22,12,3,0
2021-08-29,10,0,0
2021-09-05,11,0,0
2021-09-12,7,0,0
2021-09-19,7,0,0
2021-09-26,5,0,0
2021-10-03,7,4,0
2021-10-10,10,0,0
2021-10-17,10,0,0
2021-10-24,8,0,0
2021-10-31,8,0,0
2021-11-07,9,0,0
2021-11-14,11,3,0
2021-11-21,18,0,0
2021-11-28,15,3,0
2021-12-05,22,5,0
2021-12-12,32,9,0
2021-12-19,42,9,0
