Categoria: Todas as categorias

Semana,dengue: (Sergipe),sintomas dengue: (Sergipe),tratamento dengue: (Sergipe)
2019-03-24,12,0,0
2019-03-31,17,0,0
2019-04-07,0,0,0
2019-04-14,12,9,0
2019-04-21,20,0,0
2019-04-28,21,15,0
2019-05-05,22,8,0
2019-05-12,45,11,0
2019-05-19,41,9,0
2019-05-26,47,14,0
2019-06-02,54,27,0
2019-06-09,36,11,0
2019-06-16,36,15,0
2019-06-23,58,20,0
2019-06-30,52,18,0
2019-07-07,52,18,0
2019-07-14,43,19,0
2019-07-21,64,21,0
2019-07-28,49,16,0
2019-08-04,46,14,0
2019-08-11,29,9,0
2019-08-18,34,9,0
2019-08-25,34,16,0
2019-09-01,33,8,0
2019-09-08,35,12,0
2019-09-15,29,0,0
2019-09-22,26,0,0
2019-09-29,31,10,0
2019-10-06,22,7,0
2019-10-13,10,0,0
2019-10-20,17,9,0
2019-10-27,17,0,0
2019-11-03,20,7,0
2019-11-10,10,0,0
2019-11-17,0,0,0
2019-11-24,10,0,0
2019-12-01,16,0,0
2019-12-08,0,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,9,0,0
2020-01-12,8,0,0
2020-01-19,0,0,0
2020-01-26,10,0,0
2020-02-02,10,0,0
2020-02-09,13,0,0
2020-02-16,16,0,0
2020-02-23,15,0,0
2020-03-01,17,0,0
2020-03-08,14,0,0
2020-03-15,24,0,0
2020-03-22,18,7,0
2020-03-29,18,0,0
2020-04-05,27,5,0
2020-04-12,18,0,0
2020-04-19,11,0,0
2020-04-26,14,0,0
2020-05-03,15,0,0
2020-05-10,17,0,0
2020-05-17,21,10,0
2020-05-24,26,9,0
2020-05-31,24,6,0
2020-06-07,32,15,0
2020-06-14,34,13,8
2020-06-21,30,10,0
2020-06-28,37,12,0
2020-07-05,37,6,0
2020-07-12,32,9,0
2020-07-19,24,6,0
2020-07-26,25,6,0
2020-08-02,10,13,0
2020-08-09,23,5,0
2020-08-16,13,0,0
2020-08-23,9,0,0
2020-08-30,10,0,0
2020-09-06,11,0,0
2020-09-13,8,0,0
2020-09-20,6,0,0
2020-09-27,11,0,0
2020-10-04,13,5,0
2020-10-11,0,0,0
2020-10-18,7,0,0
2020-10-25,9,0,0
2020-11-01,0,0,0
2020-11-08,10,6,0
2020-11-15,0,6,0
