Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2019-04-07,100,27,4
2019-04-14,76,19,0
2019-04-21,68,16,0
2019-04-28,73,18,0
2019-05-05,59,15,0
2019-05-12,58,14,0
2019-05-19,56,11,0
2019-05-26,37,9,0
2019-06-02,32,6,0
2019-06-09,31,7,0
2019-06-16,27,8,0
2019-06-23,23,5,0
2019-06-30,17,5,0
2019-07-07,11,4,0
2019-07-14,10,4,0
2019-07-21,10,0,0
2019-07-28,9,0,0
2019-08-04,8,0,0
2019-08-11,9,0,0
2019-08-18,10,4,0
2019-08-25,10,0,0
2019-09-01,4,0,0
2019-09-08,7,0,0
2019-09-15,8,4,0
2019-09-22,12,0,0
2019-09-29,8,0,0
2019-10-06,7,0,0
2019-10-13,6,0,0
2019-10-20,9,3,0
2019-10-27,7,0,0
2019-11-03,5,0,0
2019-11-10,11,3,0
2019-11-17,12,0,0
2019-11-24,10,0,0
2019-12-01,12,0,0
2019-12-08,14,4,0
2019-12-15,14,3,0
2019-12-22,21,6,0
2019-12-29,20,5,0
2020-01-05,28,7,0
2020-01-12,38,11,0
2020-01-19,57,13,0
2020-01-26,57,13,0
2020-02-02,61,14,0
2020-02-09,72,15,0
2020-02-16,69,17,0
2020-02-23,78,21,0
2020-03-01,83,21,0
2020-03-08,90,24,3
2020-03-15,85,21,3
2020-03-22,73,15,0
2020-03-29,61,15,0
2020-04-05,59,15,0
2020-04-12,50,8,0
2020-04-19,43,8,0
2020-04-26,42,10,0
2020-05-03,29,2,0
2020-05-10,21,5,0
2020-05-17,26,6,0
2020-05-24,19,6,0
2020-05-31,15,3,0
2020-06-07,17,4,0
2020-06-14,17,5,0
2020-06-21,19,5,0
2020-06-28,12,7,0
2020-07-05,16,4,0
2020-07-12,13,3,0
2020-07-19,14,6,0
2020-07-26,15,4,0
2020-08-02,10,3,0
2020-08-09,10,4,0
2020-08-16,8,5,0
2020-08-23,8,2,0
2020-08-30,9,2,0
2020-09-06,10,2,0
2020-09-13,8,0,0
2020-09-20,11,0,0
2020-09-27,6,0,0
2020-10-04,7,0,0
2020-10-11,8,0,0
2020-10-18,9,3,0
2020-10-25,8,3,0
2020-11-01,9,4,0
2020-11-08,8,0,0
2020-11-15,11,3,0
2020-11-22,12,3,0
2020-11-29,10,4,0
2020-12-06,12,3,0
2020-12-13,11,6,0
2020-12-20,11,5,0
