Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte)
2020-01-12,5,3
2020-01-19,7,0
2020-01-26,6,3
2020-02-02,10,0
2020-02-09,9,0
2020-02-16,11,0
2020-02-23,12,3
2020-03-01,15,2
2020-03-08,22,4
2020-03-15,26,4
2020-03-22,22,4
2020-03-29,16,3
2020-04-05,16,3
2020-04-12,15,2
2020-04-19,14,2
2020-04-26,16,3
2020-05-03,13,5
2020-05-10,19,6
2020-05-17,20,6
2020-05-24,21,7
2020-05-31,20,6
2020-06-07,19,6
2020-06-14,17,6
2020-06-21,18,5
2020-06-28,15,5
2020-07-05,17,5
2020-07-12,15,4
2020-07-19,12,3
2020-07-26,11,3
2020-08-02,10,2
2020-08-09,9,2
2020-08-16,5,0
2020-08-23,6,0
2020-08-30,5,0
2020-09-06,6,0
2020-09-13,6,0
2020-09-20,4,0
2020-09-27,3,0
2020-10-04,4,0
2020-10-11,3,0
2020-10-18,4,0
2020-10-25,3,0
2020-11-01,4,0
2020-11-08,5,0
2020-11-15,4,0
2020-11-22,5,0
2020-11-29,6,0
2020-12-06,6,0
2020-12-13,7,0
2020-12-20,4,0
2020-12-27,4,0
2021-01-03,4,0
2021-01-10,4,3
2021-01-17,3,0
2021-01-24,4,0
2021-01-31,5,3
2021-02-07,5,0
2021-02-14,5,0
2021-02-21,7,0
2021-02-28,6,0
2021-03-07,7,2
2021-03-14,7,0
2021-03-21,9,0
2021-03-28,7,3
2021-04-04,8,0
2021-04-11,7,0
2021-04-18,11,3
2021-04-25,10,3
2021-05-02,10,0
2021-05-09,11,3
2021-05-16,11,0
2021-05-23,13,4
2021-05-30,11,4
2021-06-06,10,3
2021-06-13,10,4
2021-06-20,8,4
2021-06-27,8,0
2021-07-04,7,0
2021-07-11,7,3
2021-07-18,6,0
2021-07-25,4,0
2021-08-01,7,0
2021-08-08,7,0
2021-08-15,5,0
2021-08-22,4,0
2021-08-29,5,3
2021-09-05,4,0
2021-09-12,6,0
2021-09-19,4,0
2021-09-26,7,0
2021-10-03,6,0
2021-10-10,4,0
2021-10-17,7,0
2021-10-24,4,0
