"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp","meantemp","maxtemp","minumid","meanumid","maxumid","pop","inc_level","receptive","transmission"
2020-01-05,202002,1200351,27,27,27,27,25.2857142857143,29.3853771428571,32.1428571428571,55.3054901428571,68.340756,88.3551081428571,19299,2,0,1
2020-01-12,202003,1200351,36,36,36,36,23.5714285714286,27.2069808571429,30.2857142857143,64.4579268571429,79.6012608571429,97.54148,19299,2,0,1
2020-01-19,202004,1200351,17,17,17,17,25.2857142857143,28.7248377142857,31.8571428571429,65.4521214285714,80.710933,95.1098242857143,19299,2,1,0
2020-01-26,202005,1200351,7,7,7,7,25.2857142857143,28.5657465714286,31.1428571428571,67.372895,80.4276342857143,95.9343792857143,19299,1,1,0
2020-02-02,202006,1200351,11,11,11,11,24.7142857142857,27.5006572857143,30.1428571428571,71.8849811428571,84.8453271428571,97.5401805714286,19299,2,1,0
2020-02-09,202007,1200351,7,7,7,7,24.5714285714286,26.9792211428571,29.2857142857143,76.7427334285714,87.6106814285714,97.5814921428571,19299,1,1,0
2020-02-16,202008,1200351,4,4,4,4,24.7142857142857,27.1521337142857,29,77.5337551428571,86.2103178571429,97.5814921428571,19299,0,1,0
2020-02-23,202009,1200351,4,4,4,4,24.2857142857143,27.2666662857143,29.8571428571429,73.9743725714286,84.614732,96.0734965714286,19299,0,1,0
2020-03-01,202010,1200351,5,5,5,5,24.1428571428571,27.4959414285714,31,67.8590314285714,85.2191348571429,98.3581878571429,19299,0,1,0
2020-03-08,202011,1200351,0,0,0,0,24.8571428571429,28.9675322857143,32.4285714285714,63.7341941428571,79.4321292857143,95.944865,19299,0,0,0
2020-03-15,202012,1200351,0,0,0,0,23.1428571428571,26.3952922857143,29.8571428571429,75.184793,89.128922,99.1879162857143,19299,0,0,0
2020-03-22,202013,1200351,0,0,0,0,24.2857142857143,27.9147728571429,31.4285714285714,68.136755,82.4999122857143,96.7455835714286,19299,0,0,0
2020-03-29,202014,1200351,1,1,1,1,24.5714285714286,27.9106367142857,31,68.0927121428571,81.8198207142857,96.8600572857143,19299,0,1,0
2020-04-05,202015,1200351,0,0,0,0,26,28.7168364285714,31,68.6257314285714,80.4460328571429,92.9440417142857,19299,0,0,0
2020-04-12,202016,1200351,1,1,1,1,26.4285714285714,28.3854875714286,29.7142857142857,61.2964344285714,74.8498601428571,85.4240535714286,19299,0,0,0
2020-04-19,202017,1200351,0,0,0,0,26.2857142857143,29.5328801428571,31.7142857142857,55.9122328571429,67.4587264285714,83.2598557142857,19299,0,0,0
2020-04-26,202018,1200351,2,2,2,2,26,27.742347,29.5714285714286,76.2738058571429,86.6870291428571,95.9813185714286,19299,0,1,0
2020-05-03,202019,1200351,0,0,0,0,24.2857142857143,26.907313,28.8571428571429,75.3902282857143,82.4332787142857,92.1655522857143,19299,0,0,0
