"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp","meantemp","maxtemp","minumid","meanumid","maxumid","pop","inc_level","receptive","transmission"
2017-12-31,201801,1300029,0,0,0,0,25.25,28.412879,30.25,72.746065,81.6671325,91.67957,16220,0,0,0
2018-01-07,201802,1300029,0,0,0,0,27,27,27,78.780716,78.780716,78.780716,16220,0,0,0
2018-01-14,201803,1300029,0,0,0,0,25,26.060606,27,79.4779566666667,84.9199966666667,88.7754566666667,16220,0,0,0
2018-01-21,201804,1300029,0,0,0,0,25,NA,NA,81.6734958333333,NA,NA,16220,0,0,0
2018-01-28,201805,1300029,1,1,1,1,25,26.272727,27,83.869035,88.14212,91.476975,16220,0,1,0
2018-02-04,201806,1300029,0,0,0,0,25,28.8571428571429,31.2857142857143,71.8087472857143,84.0258574285714,95.945131,16220,0,0,0
2018-02-11,201807,1300029,0,0,0,0,24.1428571428571,27.025974,29.5714285714286,80.525186,89.1561708571429,96.7281598571429,16220,0,0,0
2018-02-18,201808,1300029,0,0,0,0,24.1428571428571,27.7272728571429,30,75.069568,85.1230838571429,97.5459785714286,16220,0,0,0
2018-02-25,201809,1300029,0,0,0,0,24.5714285714286,28.9547955714286,31.8571428571429,62.477979,76.0705862857143,93.4791914285714,16220,0,0,0
2018-03-04,201810,1300029,0,0,0,0,25,28.818182,31.2857142857143,68.4642254285714,79.3675255714286,96.7045285714286,16220,0,0,0
2018-03-11,201811,1300029,0,0,0,0,25.7142857142857,30.1558442857143,32.4285714285714,59.5100318571429,71.5560707142857,93.5373537142857,16220,0,0,0
2018-03-18,201812,1300029,0,0,0,0,24.4285714285714,27.6493502857143,30.4285714285714,71.5441155714286,83.7129057142857,96.6985407142857,16220,0,0,0
2018-03-25,201813,1300029,0,0,0,0,24.8571428571429,28.1233765714286,30.4285714285714,70.0043315714286,81.5276464285714,95.9225321428571,16220,0,0,0
2018-04-01,201814,1300029,0,0,0,0,23.8571428571429,26.0043291428571,28,80.9350888571429,89.1465342857143,98.3342357142857,16220,0,0,0
2018-04-04,201815,1300029,0,0,0,0,24,28.0281388571429,30.2857142857143,67.2561837142857,77.9240901428571,95.1457721428571,16220,0,0,0
2018-04-15,201816,1300029,0,0,0,0,24.1428571428571,26.818182,28.5714285714286,76.8629391428571,84.5135265714286,95.8931621428571,16220,0,0,0
2018-04-22,201817,1300029,0,0,0,0,25.1428571428571,27.9545454285714,30,71.172288,81.2277515714286,94.4183494285714,16220,0,0,0
2018-04-29,201818,1300029,0,0,0,0,24.1428571428571,27.7112887142857,30.4285714285714,67.6559301428571,80.9532664285714,95.899215,16220,0,0,0
2018-05-06,201819,1300029,0,0,0,0,24.5714285714286,28.0854974285714,30.5714285714286,67.2424208571429,79.697072,94.2987042857143,16220,0,0,0
2018-05-13,201820,1300029,0,0,0,0,25.2857142857143,28.3246757142857,31,65.8674722857143,78.8651822857143,95.0979128571429,16220,0,0,0
2018-05-20,201821,1300029,0,0,0,0,24.1428571428571,26.7792202857143,29.1428571428571,73.7516087142857,86.0010785714286,98.3281828571429,16220,0,0,0
2018-05-27,201822,1300029,0,0,0,0,24.7142857142857,27.5227271428571,29.7142857142857,74.2520858571429,84.8039007142857,97.5103678571429,16220,0,0,0
2018-06-03,201823,1300029,0,0,0,0,23,25.9870131428571,27.5714285714286,74.1560317142857,82.494807,95.04432,16220,0,0,0
2018-06-10,201824,1300029,0,0,0,0,25.2857142857143,29.6753248571429,31.7142857142857,56.4918712857143,68.4857,88.788178,16220,0,0,0
2018-06-17,201825,1300029,0,0,0,0,23.1428571428571,26.6493508571429,29,67.5561542857143,80.622028,97.4799714285714,16220,0,0,0
2018-06-24,201826,1300029,0,0,0,0,24.4285714285714,28.5454542857143,31,63.3949707142857,75.9328918571429,95.0208007142857,16220,0,0,0
2018-07-01,201827,1300029,0,0,0,0,25.8571428571429,29.1839822857143,31.8571428571429,59.0659384285714,73.966308,90.3954008571429,16220,0,0,0
2018-07-08,201828,1300029,0,0,0,0,24.2857142857143,27.8571428571429,30,63.6212885714286,74.7212214285714,89.46644,16220,0,0,0
2018-07-15,201829,1300029,0,0,0,0,24.4285714285714,28.0963202857143,30.8571428571429,64.108078,78.9814557142857,95.8626971428571,16220,0,0,0
2018-07-22,201830,1300029,0,0,0,0,25.1428571428571,28.525974,30.8571428571429,63.456249,75.2863218571429,92.7200494285714,16220,0,0,0
2018-07-29,201831,1300029,0,0,0,0,24.8571428571429,28,30.2857142857143,70.2501811428571,80.5467577142857,95.9052028571429,16220,0,0,0
2018-08-05,201832,1300029,0,0,0,0,24.2857142857143,28.4296534285714,31.2857142857143,65.1274865714286,77.3340285714286,95.1405357142857,16220,0,0,0
2018-08-12,201833,1300029,0,0,0,0,24.5714285714286,27.7446717142857,29.8571428571429,70.8661922857143,80.2876774285714,93.46343,16220,0,0,0
2018-08-19,201834,1300029,0,0,0,0,24.5714285714286,27.9967531428571,30.4285714285714,66.8698918571429,77.3507347142857,92.7572408571429,16220,0,0,0
2018-08-26,201835,1300029,0,0,0,0,24.7142857142857,29.103896,31.7142857142857,62.5225627142857,74.792047,93.5465814285714,16220,0,0,0
2018-09-02,201836,1300029,0,0,0,0,25.1428571428571,28.7662337142857,31.1428571428571,62.243544,74.6973521428571,93.4980364285714,16220,0,0,0
2018-09-09,201837,1300029,0,0,0,0,25.2857142857143,28.9794371428571,31.4285714285714,63.8311874285714,76.5772098571429,92.6508392857143,16220,0,0,0
