"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp_mean","meantemp_mean","maxtemp_mean","minumid_mean","meanumid_mean","maxumid_mean","pop","inc_level","receptive","transmission"
2018-11-25,201848,100,100,100,100,18.5714285714286,19.9178571428571,21.8571428571429,77.6836178571428,86.2330228571429,92.3061191428571,3055149,1,1,1
2018-12-02,201849,108,108,108,108,19.7142857142857,20.6674601428571,22.5714285714286,80.9390635714286,89.3434171428571,94.8811542857143,3055149,1,1,0
2018-12-09,201850,117,117,117,117,19.4761904761905,NA,NA,NA,NA,94.6057857904762,3055149,1,1,0
2018-12-16,201851,147,147,147,147,19.2380952380952,NA,NA,NA,NA,94.3304172952381,3055149,1,1,1
2018-12-23,201852,130,130,130,130,19,21.4538888,24.4,67.689914,84.4303552,94.0550488,3055149,1,1,0
2018-12-30,201901,230,230,230,230,19.1428571428571,20.6857142857143,22.7142857142857,73.7355725714286,83.8881727142857,92.4099651428571,3055149,1,1,1
2019-01-06,201902,169,169,169,169,18.5714285714286,20.4428571428571,22.4285714285714,69.307483,80.7433237142857,91.609522,3055149,1,1,0
2019-01-13,201903,201,201,201,201,18.8571428571429,23.3809522857143,28.1428571428571,50.693095,68.945513,87.4907005714286,3055149,1,0,0
2019-01-20,201904,285,285,285,285,19.7142857142857,25.0297617142857,30.5714285714286,38.3832544285714,60.1835437142857,83.0639728571429,3055149,1,0,1
2019-01-27,201905,470,470,470,470,18.1428571428571,24.2380954285714,29.8571428571429,35.8593115714286,59.4086522857143,84.3868708571429,3055149,2,0,1
2019-02-03,201906,573,573,573,573,19.7142857142857,22.5376981428571,27.4285714285714,61.1307278571429,79.4637761428571,94.2076642857143,3055149,2,1,1
2019-02-10,201907,593,593,593,593,19.7142857142857,21.1714285714286,22.7142857142857,79.1729835714286,86.3459728571429,92.4445057142857,3055149,2,1,1
2019-02-17,201908,779,779,779,779,19.4285714285714,20.4155845714286,21.5714285714286,81.75066,88.9575744285714,93.9681185714286,3055149,2,1,1
2019-02-24,201909,841,841,841,841,19.7142857142857,21.051948,22.4285714285714,80.3762864285714,88.1935692857143,94.8479371428571,3055149,2,1,1
2019-03-03,201910,890,890,890,890,18.1428571428571,19.6636362857143,20.7142857142857,86.1104091428572,91.5836028571428,97.4111857142857,3055149,2,1,1
2019-03-10,201911,1168,1168,1168,1168,20.1428571428571,21.2727271428571,23.2857142857143,75.8468071428571,84.7204107142857,89.9537328571429,3055149,2,1,1
2019-03-17,201912,1637,1637,1637,1637,19.5714285714286,20.6064934285714,22.1428571428571,83.27312,90.6354621428571,96.5694357142857,3055149,2,1,1
2019-03-24,201913,1703,1703,1703,1703,19.8571428571429,20.6363637142857,22,85.54249,90.6411265714286,95.6895477142857,3055149,2,1,1
2019-03-31,201914,1776,1776,1776,1776,19.2857142857143,20.9000002857143,23.1428571428571,75.171833,86.1333492857143,92.368972,3055149,2,1,1
2019-04-07,201915,1787,1787,1787,1787,19.7142857142857,20.8005414285714,22.4285714285714,84.2214247142857,92.1561428571429,98.2973257142857,3055149,2,1,1
2019-04-14,201916,1696,1696,1696,1696,19.5714285714286,21.0499498571429,22.8571428571429,82.6224417142857,91.0609585714286,96.5757571428571,3055149,2,1,0
2019-04-21,201917,2246,2246,2246,2246,18.4285714285714,20.3966031428571,22.7142857142857,81.288248,88.5482148571429,95.7106234285714,3055149,2,1,1
2019-04-28,201918,2286,2286,2286,2286,19.5714285714286,20.8285717142857,23.1428571428571,78.6254758571429,89.233367,94.8872657142857,3055149,2,1,1
