"ew_start","sum_of_cases","dengue","sintomas.dengue","tratamento.dengue","uf","lwr","upr","prediction"
2019-04-21,378,8,3,1,"SC",268.458746281444,3870.9651669195,2069.71195660047
2019-04-28,400,9,3,0,"SC",-185.046322055425,3417.46009858263,1616.2068882636
2019-05-05,425,9,3,0,"SC",-185.046322055425,3417.46009858263,1616.2068882636
2019-05-12,402,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2019-05-19,411,8,3,1,"SC",268.458746281444,3870.9651669195,2069.71195660047
2019-05-26,357,8,3,0,"SC",-418.997563288178,3183.50885734988,1382.25564703085
2019-06-02,284,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2019-06-09,304,7,2,0,"SC",-725.883695643729,2876.62272499433,1075.3695146753
2019-06-16,185,7,3,0,"SC",-652.948804520931,2949.55761611713,1148.3044057981
2019-06-23,173,4,2,0,"SC",-1427.73741934199,2174.76900129607,373.515790977039
2019-06-30,85,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2019-07-07,83,2,2,1,"SC",-1208.18359223787,2394.32282840018,593.069618081155
2019-07-14,76,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2019-07-21,59,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2019-07-28,59,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2019-08-04,61,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2019-08-11,53,4,1,1,"SC",-813.216000895166,2789.29041974289,988.037209423863
2019-08-18,49,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2019-08-25,39,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2019-09-01,45,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2019-09-08,59,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2019-09-15,51,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2019-09-22,50,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2019-09-29,48,3,0,0,"SC",-1807.55844282034,1794.94797781772,-6.30523250131057
2019-10-06,57,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2019-10-13,57,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2019-10-20,51,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2019-10-27,57,3,0,0,"SC",-1807.55844282034,1794.94797781772,-6.30523250131057
2019-11-03,50,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2019-11-10,74,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2019-11-17,59,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2019-11-24,53,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2019-12-01,64,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2019-12-08,52,1,1,0,"SC",-2202.52603416305,1399.98038647501,-401.272823844019
2019-12-15,59,1,0,0,"SC",-2275.46092528585,1327.04549535221,-474.207714966817
2019-12-22,40,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2019-12-29,54,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2020-01-05,85,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2020-01-12,105,4,2,0,"SC",-1427.73741934199,2174.76900129607,373.515790977039
2020-01-19,96,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2020-01-26,102,5,2,0,"SC",-1193.78617810924,2408.72024252882,607.467032209792
2020-02-02,144,5,1,0,"SC",-1266.72106923203,2335.78535140602,534.532141086994
2020-02-09,230,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2020-02-16,270,9,3,0,"SC",-185.046322055425,3417.46009858263,1616.2068882636
2020-02-23,285,9,3,0,"SC",-185.046322055425,3417.46009858263,1616.2068882636
2020-03-01,487,9,2,0,"SC",-257.981213178223,3344.52520745983,1543.27199714081
2020-03-08,547,13,4,0,"SC",823.693533998387,4426.19995463644,2624.94674431741
2020-03-15,499,16,4,0,"SC",1525.54725769665,5128.0536783347,3326.80046801567
2020-03-22,682,14,4,0,"SC",1057.64477523114,4660.1511958692,2858.89798555017
2020-03-29,841,14,3,0,"SC",984.709884108341,4587.2163047464,2785.96309442737
2020-04-05,1170,13,3,0,"SC",750.758642875588,4353.26506351365,2552.01185319462
2020-04-12,1388,15,3,0,"SC",1218.66112534109,4821.16754597915,3019.91433566012
2020-04-19,1568,14,3,0,"SC",984.709884108341,4587.2163047464,2785.96309442737
2020-04-26,1608,16,5,0,"SC",1598.48214881944,5200.9885694575,3399.73535913847
2020-05-03,1756,14,4,0,"SC",1057.64477523114,4660.1511958692,2858.89798555017
2020-05-10,1530,14,4,0,"SC",1057.64477523114,4660.1511958692,2858.89798555017
2020-05-17,1451,12,4,0,"SC",589.742292765633,4192.24871340369,2390.99550308466
2020-05-24,1150,11,3,0,"SC",282.856160410082,3885.36258104814,2084.10937072911
2020-05-31,888,8,2,0,"SC",-491.932454410976,3110.57396622708,1309.32075590805
2020-06-07,803,7,2,0,"SC",-725.883695643729,2876.62272499433,1075.3695146753
2020-06-14,943,9,3,0,"SC",-185.046322055425,3417.46009858263,1616.2068882636
2020-06-21,741,10,4,0,"SC",121.839810300127,3724.34623093818,1923.09302061916
2020-06-28,456,5,2,0,"SC",-1193.78617810924,2408.72024252882,607.467032209792
2020-07-05,428,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2020-07-12,335,5,2,0,"SC",-1193.78617810924,2408.72024252882,607.467032209792
2020-07-19,291,5,2,0,"SC",-1193.78617810924,2408.72024252882,607.467032209792
2020-07-26,153,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2020-08-02,124,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2020-08-09,124,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2020-08-16,86,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
