Categoria: Todas as categorias

Semana,dengue: (Goiás),sintomas dengue: (Goiás)
2021-12-19,22,6
2021-12-26,30,8
2022-01-02,41,13
2022-01-09,39,14
2022-01-16,44,14
2022-01-23,45,12
2022-01-30,44,12
2022-02-06,40,10
2022-02-13,40,9
2022-02-20,39,9
2022-02-27,43,9
2022-03-06,45,9
2022-03-13,45,9
2022-03-20,50,11
2022-03-27,49,11
2022-04-03,48,10
2022-04-10,50,11
2022-04-17,58,13
2022-04-24,50,11
2022-05-01,48,11
2022-05-08,48,11
2022-05-15,34,8
2022-05-22,32,8
2022-05-29,28,7
2022-06-05,24,8
2022-06-12,22,7
2022-06-19,18,6
2022-06-26,13,4
2022-07-03,10,3
2022-07-10,8,3
2022-07-17,8,2
2022-07-24,6,2
2022-07-31,6,2
2022-08-07,5,1
2022-08-14,6,2
2022-08-21,6,1
2022-08-28,6,2
2022-09-04,6,2
2022-09-11,6,2
2022-09-18,6,2
2022-09-25,5,1
2022-10-02,5,1
2022-10-09,6,2
2022-10-16,6,2
2022-10-23,6,2
2022-10-30,5,1
2022-11-06,7,2
2022-11-13,7,2
2022-11-20,7,2
2022-11-27,8,3
2022-12-04,9,3
2022-12-11,10,3
2022-12-18,10,4
2022-12-25,10,4
2023-01-01,11,3
2023-01-08,9,3
2023-01-15,11,3
2023-01-22,10,3
2023-01-29,10,3
2023-02-05,12,3
2023-02-12,13,4
2023-02-19,10,3
2023-02-26,12,3
2023-03-05,12,3
2023-03-12,13,4
2023-03-19,16,4
2023-03-26,19,6
2023-04-02,15,5
2023-04-09,15,5
2023-04-16,15,4
2023-04-23,14,4
2023-04-30,14,4
2023-05-07,13,4
2023-05-14,12,3
2023-05-21,10,3
2023-05-28,9,3
2023-06-04,6,2
2023-06-11,8,2
2023-06-18,6,2
2023-06-25,6,1
2023-07-02,6,1
2023-07-09,5,1
2023-07-16,4,1
2023-07-23,4,1
2023-07-30,4,1
2023-08-06,4,1
2023-08-13,5,1
2023-08-20,5,1
2023-08-27,5,1
2023-09-03,6,1
2023-09-10,6,1
2023-09-17,5,1
2023-09-24,5,1
2023-10-01,6,2
2023-10-08,5,1
2023-10-15,7,2
2023-10-22,5,1
2023-10-29,5,1
2023-11-05,7,1
2023-11-12,6,2
2023-11-19,6,1
2023-11-26,9,2
2023-12-03,10,2
2023-12-10,11,3
2023-12-17,13,3
2023-12-24,15,4
2023-12-31,19,4
2024-01-07,22,5
2024-01-14,27,5
2024-01-21,39,8
2024-01-28,55,11
2024-02-04,100,14
2024-02-11,82,17
2024-02-18,86,16
2024-02-25,90,15
2024-03-03,68,12
2024-03-10,69,11
2024-03-17,71,11
2024-03-24,60,11
2024-03-31,61,9
2024-04-07,65,12
2024-04-14,68,11
2024-04-21,68,11
2024-04-28,63,10
2024-05-05,52,9
2024-05-12,46,7
2024-05-19,41,6
2024-05-26,30,5
2024-06-02,24,3
2024-06-09,19,3
2024-06-16,16,2
2024-06-23,12,2
2024-06-30,10,2
2024-07-07,9,1
2024-07-14,8,1
2024-07-21,8,2
