Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2019-04-14,85,20,0
2019-04-21,72,18,0
2019-04-28,79,19,0
2019-05-05,68,18,0
2019-05-12,65,15,0
2019-05-19,61,13,0
2019-05-26,41,12,0
2019-06-02,33,6,0
2019-06-09,34,8,0
2019-06-16,32,9,0
2019-06-23,25,7,0
2019-06-30,21,5,0
2019-07-07,11,6,0
2019-07-14,11,0,0
2019-07-21,13,0,0
2019-07-28,11,0,0
2019-08-04,9,0,0
2019-08-11,10,0,7
2019-08-18,11,0,0
2019-08-25,11,0,0
2019-09-01,0,0,0
2019-09-08,7,0,0
2019-09-15,9,0,0
2019-09-22,13,0,0
2019-09-29,9,0,0
2019-10-06,6,0,0
2019-10-13,6,0,0
2019-10-20,9,0,0
2019-10-27,7,0,0
2019-11-03,10,0,0
2019-11-10,10,5,0
2019-11-17,12,0,0
2019-11-24,12,0,0
2019-12-01,13,0,0
2019-12-08,14,5,0
2019-12-15,15,5,0
2019-12-22,22,8,0
2019-12-29,21,6,0
2020-01-05,30,9,0
2020-01-12,42,11,0
2020-01-19,64,15,0
2020-01-26,64,16,0
2020-02-02,67,15,0
2020-02-09,81,17,0
2020-02-16,76,19,0
2020-02-23,84,24,0
2020-03-01,91,21,0
2020-03-08,100,24,0
2020-03-15,92,24,0
2020-03-22,83,17,0
2020-03-29,68,16,0
2020-04-05,63,16,0
2020-04-12,51,10,0
2020-04-19,47,9,0
2020-04-26,47,11,5
2020-05-03,33,5,0
2020-05-10,23,4,0
2020-05-17,30,7,0
2020-05-24,24,5,0
2020-05-31,16,3,0
2020-06-07,20,5,0
2020-06-14,19,5,0
2020-06-21,23,5,0
2020-06-28,15,5,0
2020-07-05,19,4,0
2020-07-12,15,4,0
2020-07-19,12,4,0
2020-07-26,17,0,0
2020-08-02,12,4,0
2020-08-09,12,5,0
2020-08-16,11,0,0
2020-08-23,11,0,0
2020-08-30,10,4,0
2020-09-06,11,0,0
2020-09-13,9,0,0
2020-09-20,12,0,0
2020-09-27,7,0,0
2020-10-04,7,0,0
2020-10-11,7,0,0
2020-10-18,9,0,0
2020-10-25,9,0,0
2020-11-01,9,6,0
2020-11-08,9,0,0
2020-11-15,13,6,0
2020-11-22,12,0,0
2020-11-29,11,5,0
2020-12-06,13,0,0
2020-12-13,11,6,0
2020-12-20,14,7,0
2020-12-27,15,6,0
2021-01-03,14,8,0
2021-01-10,13,5,0
2021-01-17,16,4,0
2021-01-24,17,6,0
2021-01-31,24,8,0
2021-02-07,25,10,0
2021-02-14,27,7,0
2021-02-21,22,8,0
2021-02-28,29,10,0
2021-03-07,27,11,0
2021-03-14,30,8,0
2021-03-21,31,11,0
2021-03-28,29,11,0
2021-04-04,29,11,0
