Categoria: Todas as categorias

Semana,dengue: (Bahia),sintomas dengue: (Bahia),tratamento dengue: (Bahia)
2023-11-19,4,1,0
2023-11-26,4,1,0
2023-12-03,3,1,0
2023-12-10,4,1,0
2023-12-17,3,1,0
2023-12-24,4,1,0
2023-12-31,4,1,0
2024-01-07,6,1,0
2024-01-14,6,1,0
2024-01-21,8,2,0
2024-01-28,14,3,0
2024-02-04,24,6,0
2024-02-11,48,14,1
2024-02-18,70,16,1
2024-02-25,100,20,1
2024-03-03,86,20,1
2024-03-10,83,17,1
2024-03-17,80,16,1
2024-03-24,58,12,1
2024-03-31,61,11,1
2024-04-07,55,11,1
2024-04-14,44,8,<1
