"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp","meantemp","maxtemp","minumid","meanumid","maxumid","pop","inc_level","receptive","transmission"
2018-02-25,201809,1600600,1,1,1,1,24.7142857142857,27.3625542857143,32.2857142857143,61.718174,87.5591137142857,100,123096,0,1,0
2018-03-04,201810,1600600,3,3,3,3,24.5714285714286,25.3766234285714,26.4285714285714,93.0307222857143,98.2823228571429,100,123096,0,1,0
2018-03-11,201811,1600600,2,2,2,2,24.8571428571429,25.5831165714286,26.4285714285714,90.0307795714286,96.9358965714286,100,123096,0,1,0
2018-03-18,201812,1600600,1,1,1,1,24.7142857142857,25.6673162857143,27,92.7785407142857,99.1364285714286,107.170042857143,123096,0,1,0
2018-03-25,201813,1600600,2,2,2,2,24.2857142857143,25.303896,26.4285714285714,96.75756,99.6303357142857,100,123096,0,1,0
2018-04-01,201814,1600600,1,1,1,1,24.4285714285714,24.896104,25.4285714285714,100,100,100,123096,0,1,0
2018-04-04,201815,1600600,5,5,5,5,24.1428571428571,24.7857142857143,25.8571428571429,96.7582471428571,99.3772057142857,100,123096,0,1,0
2018-04-15,201816,1600600,9,9,9,9,24.1428571428571,25.5600648571429,27.8571428571429,88.4122871428571,97.3349485714286,100,123096,1,1,1
2018-04-22,201817,1600600,3,3,3,3,24.2857142857143,27.5178568571429,33.4285714285714,59.0225285714286,89.3525535714286,100,123096,0,1,0
2018-04-29,201818,1600600,4,4,4,4,24.2857142857143,26.9345237142857,32.4285714285714,63.6856711428571,90.3642914285714,100,123096,0,1,0
2018-05-06,201819,1600600,3,3,3,3,24.2857142857143,27.3630951428571,33.8571428571429,55.157787,89.1441235714286,100,123096,0,1,0
2018-05-13,201820,1600600,4,4,4,4,24.7142857142857,28.3571431428571,34.5714285714286,54.3119365714286,85.0823485714286,100,123096,0,1,0
2018-05-20,201821,1600600,1,1,1,1,24.8571428571429,26.5822511428571,29,83.3388392857143,94.5048371428571,100,123096,0,1,0
2018-05-27,201822,1600600,1,1,1,1,24.7142857142857,25.2987014285714,26,99.1820557142857,99.9256414285714,100,123096,0,1,0
2018-06-03,201823,1600600,1,1,1,1,24.8571428571429,25.844156,27,95.1446284285714,99.2633,100,123096,0,1,0
2018-06-10,201824,1600600,1,1,1,1,24.7142857142857,25.5844154285714,27.2857142857143,81.9905715714286,97.3039791428571,100,123096,0,1,0
2018-06-17,201825,1600600,0,0,0,0,24.5714285714286,25.5584414285714,26.8571428571429,90.6547065714286,97.4671635714286,100,123096,0,0,0
2018-06-24,201826,1600600,0,0,0,0,24,24.8311691428571,25.8571428571429,96.0734965714286,99.4205022857143,100,123096,0,0,0
